Características	Umbral	ERR
dt,ft1,ft2,ft3,ft4	0.35000002	0.2227206
dt,ft1,ft2,ft3	0.35000002	0.22120589
dt,ft1,ft2,ft4	0.35000002	0.21175736
dt,ft1,ft2	0.40000004	0.21157354
dt,ft1,ft3,ft4	0.35000002	0.21743137
dt,ft1,ft3	0.35000002	0.21589951
dt,ft1,ft4	0.40000004	0.20553431
dt,ft1	0.45000005	0.20033088
dt,ft2,ft3,ft4	0.35000002	0.21791667
dt,ft2,ft3	0.35000002	0.21286029
dt,ft2,ft4	0.40000004	0.20782843
dt,ft2	0.50000006	0.1927402
dt,ft3,ft4	0.35000002	0.21162745
dt,ft3	0.45000005	0.201125
dt,ft4	0.45000005	0.19487256
dt	1.0500001	0.14603677
ft1,ft2,ft3,ft4	0.25	0.23218627
ft1,ft2,ft3	0.25	0.23673284
ft1,ft2,ft4	0.3	0.23165196
ft1,ft2	0.25	0.23287745
ft1,ft3,ft4	0.25	0.2329804
ft1,ft3	0.25	0.24119608
ft1,ft4	0.3	0.22944364
ft1	0.25	0.24154165
ft2,ft3,ft4	0.25	0.23636764
ft2,ft3	0.25	0.24062255
ft2,ft4	0.3	0.23281372
ft2	0.3	0.23582843
ft3,ft4	0.25	0.2395049
ft3	0.2	0.24845098
ft4	0.3	0.23946078
