Características	Umbral	ERR
dt,ft1,ft2,ft3,ft4	93.0	0.23301226
dt,ft1,ft2,ft3	91.0	0.19470833
dt,ft1,ft2,ft4	91.0	0.1922108
dt,ft1,ft2	91.0	0.17085785
dt,ft1,ft3,ft4	91.0	0.194875
dt,ft1,ft3	91.0	0.1733701
dt,ft1,ft4	91.0	0.17135294
dt,ft1	91.0	0.16303432
dt,ft2,ft3,ft4	91.0	0.19585785
dt,ft2,ft3	91.0	0.17343381
dt,ft2,ft4	91.0	0.17255637
dt,ft2	86.0	0.15026961
dt,ft3,ft4	91.0	0.17523284
dt,ft3	91.0	0.1655
dt,ft4	91.0	0.16533089
dt	82.0	0.14178921
ft1,ft2,ft3,ft4	98.0	0.28227204
ft1,ft2,ft3	97.0	0.294125
ft1,ft2,ft4	97.0	0.28266913
ft1,ft2	96.0	0.29750246
ft1,ft3,ft4	97.0	0.2853848
ft1,ft3	96.0	0.30674264
ft1,ft4	96.0	0.2859853
ft1	91.0	0.31766665
ft2,ft3,ft4	97.0	0.2962549
ft2,ft3	96.0	0.31120098
ft2,ft4	96.0	0.29983333
ft2	91.0	0.31960538
ft3,ft4	96.0	0.31043628
ft3	91.0	0.34199265
ft4	91.0	0.327375
