FRR	FAR	Caracteristicas
0.35318628	0.035161763	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.25)
0.34705883	0.036666665	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.5)
0.34705883	0.036691178	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.75)
0.34705883	0.036691178	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.25),ft4(2.0)
0.34705883	0.036691178	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.25),ft4(2.25)
0.3492647	0.035696078	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.25)
0.3394608	0.03810294	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.5)
0.3394608	0.03815196	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.75)
0.3394608	0.03815196	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.5),ft4(2.0)
0.3394608	0.03815196	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.5),ft4(2.25)
0.34901962	0.035696078	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.25)
0.3392157	0.038107842	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.5)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.75)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.75),ft4(2.0)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(1.75),ft4(2.25)
0.34901962	0.035696078	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.25)
0.3392157	0.038107842	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.5)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.75)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.0),ft4(2.0)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.0),ft4(2.25)
0.34901962	0.035696078	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.25)
0.3392157	0.038107842	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.5)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.75)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.25),ft4(2.0)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft3(2.25),ft4(2.25)
0.3495098	0.036607843	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.25)
0.34068626	0.039137255	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.5)
0.34068626	0.039181374	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.75)
0.34068626	0.039181374	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.25),ft4(2.0)
0.34068626	0.039181374	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.25),ft4(2.25)
0.34558824	0.03717157	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.25)
0.32818627	0.04189706	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.5)
0.32769608	0.04248039	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.75)
0.32769608	0.042495098	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.5),ft4(2.0)
0.32769608	0.042495098	dt(1.25),ft1(1.25),ft2(1.5),ft3(1.5),ft4(2.25)
