FRR	FAR	Caracteristicas
0.34901962	0.035696078	dt(1.25),ft1(1.25),ft2(1.25),ft4(1.25)
0.3392157	0.038107842	dt(1.25),ft1(1.25),ft2(1.25),ft4(1.5)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft4(1.75)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft4(2.0)
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25),ft4(2.25)
0.34534314	0.03717157	dt(1.25),ft1(1.25),ft2(1.5),ft4(1.25)
0.32794118	0.041911766	dt(1.25),ft1(1.25),ft2(1.5),ft4(1.5)
0.327451	0.042539217	dt(1.25),ft1(1.25),ft2(1.5),ft4(1.75)
0.327451	0.042568628	dt(1.25),ft1(1.25),ft2(1.5),ft4(2.0)
0.327451	0.042568628	dt(1.25),ft1(1.25),ft2(1.5),ft4(2.25)
0.34509805	0.03717157	dt(1.25),ft1(1.25),ft2(1.75),ft4(1.25)
0.32769608	0.041941177	dt(1.25),ft1(1.25),ft2(1.75),ft4(1.5)
0.3272059	0.04261765	dt(1.25),ft1(1.25),ft2(1.75),ft4(1.75)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(1.75),ft4(2.0)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(1.75),ft4(2.25)
0.34509805	0.03717157	dt(1.25),ft1(1.25),ft2(2.0),ft4(1.25)
0.32769608	0.041941177	dt(1.25),ft1(1.25),ft2(2.0),ft4(1.5)
0.3272059	0.04261765	dt(1.25),ft1(1.25),ft2(2.0),ft4(1.75)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.0),ft4(2.0)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.0),ft4(2.25)
0.34509805	0.03717157	dt(1.25),ft1(1.25),ft2(2.25),ft4(1.25)
0.32769608	0.041941177	dt(1.25),ft1(1.25),ft2(2.25),ft4(1.5)
0.3272059	0.04261765	dt(1.25),ft1(1.25),ft2(2.25),ft4(1.75)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.25),ft4(2.0)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.25),ft4(2.25)
0.3392157	0.03860294	dt(1.25),ft1(1.5),ft2(1.25),ft4(1.25)
0.32769608	0.0412549	dt(1.25),ft1(1.5),ft2(1.25),ft4(1.5)
0.32769608	0.041308824	dt(1.25),ft1(1.5),ft2(1.25),ft4(1.75)
0.32769608	0.041308824	dt(1.25),ft1(1.5),ft2(1.25),ft4(2.0)
0.32769608	0.041308824	dt(1.25),ft1(1.5),ft2(1.25),ft4(2.25)
0.32647058	0.04265686	dt(1.25),ft1(1.5),ft2(1.5),ft4(1.25)
0.28455883	0.053416666	dt(1.25),ft1(1.5),ft2(1.5),ft4(1.5)
0.28088236	0.055269606	dt(1.25),ft1(1.5),ft2(1.5),ft4(1.75)
0.28088236	0.05530392	dt(1.25),ft1(1.5),ft2(1.5),ft4(2.0)
0.28088236	0.05530392	dt(1.25),ft1(1.5),ft2(1.5),ft4(2.25)
0.3262255	0.04272059	dt(1.25),ft1(1.5),ft2(1.75),ft4(1.25)
0.28235295	0.0545	dt(1.25),ft1(1.5),ft2(1.75),ft4(1.5)
0.2752451	0.05817647	dt(1.25),ft1(1.5),ft2(1.75),ft4(1.75)
0.2752451	0.058656864	dt(1.25),ft1(1.5),ft2(1.75),ft4(2.0)
0.2752451	0.058661766	dt(1.25),ft1(1.5),ft2(1.75),ft4(2.25)
0.3262255	0.04272059	dt(1.25),ft1(1.5),ft2(2.0),ft4(1.25)
0.28210783	0.0545049	dt(1.25),ft1(1.5),ft2(2.0),ft4(1.5)
0.275	0.058210783	dt(1.25),ft1(1.5),ft2(2.0),ft4(1.75)
0.275	0.058735292	dt(1.25),ft1(1.5),ft2(2.0),ft4(2.0)
0.275	0.058754902	dt(1.25),ft1(1.5),ft2(2.0),ft4(2.25)
0.3262255	0.04272059	dt(1.25),ft1(1.5),ft2(2.25),ft4(1.25)
0.28210783	0.0545049	dt(1.25),ft1(1.5),ft2(2.25),ft4(1.5)
0.275	0.058210783	dt(1.25),ft1(1.5),ft2(2.25),ft4(1.75)
0.275	0.058735292	dt(1.25),ft1(1.5),ft2(2.25),ft4(2.0)
0.275	0.058754902	dt(1.25),ft1(1.5),ft2(2.25),ft4(2.25)
0.3392157	0.038735293	dt(1.25),ft1(1.75),ft2(1.25),ft4(1.25)
0.32769608	0.04139216	dt(1.25),ft1(1.75),ft2(1.25),ft4(1.5)
0.32769608	0.04144608	dt(1.25),ft1(1.75),ft2(1.25),ft4(1.75)
0.32769608	0.04144608	dt(1.25),ft1(1.75),ft2(1.25),ft4(2.0)
0.32769608	0.04144608	dt(1.25),ft1(1.75),ft2(1.25),ft4(2.25)
0.32647058	0.04372549	dt(1.25),ft1(1.75),ft2(1.5),ft4(1.25)
0.27990195	0.05604902	dt(1.25),ft1(1.75),ft2(1.5),ft4(1.5)
0.2752451	0.058068626	dt(1.25),ft1(1.75),ft2(1.5),ft4(1.75)
0.2752451	0.058102943	dt(1.25),ft1(1.75),ft2(1.5),ft4(2.0)
0.2752451	0.058102943	dt(1.25),ft1(1.75),ft2(1.5),ft4(2.25)
0.3262255	0.043892156	dt(1.25),ft1(1.75),ft2(1.75),ft4(1.25)
0.27303922	0.05931863	dt(1.25),ft1(1.75),ft2(1.75),ft4(1.5)
