FRR	FAR	Caracteristicas
0.3392157	0.038156863	dt(1.25),ft1(1.25),ft2(1.25)
0.327451	0.042568628	dt(1.25),ft1(1.25),ft2(1.5)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(1.75)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.0)
0.3272059	0.042666666	dt(1.25),ft1(1.25),ft2(2.25)
0.32769608	0.041308824	dt(1.25),ft1(1.5),ft2(1.25)
0.28088236	0.05530392	dt(1.25),ft1(1.5),ft2(1.5)
0.2752451	0.058661766	dt(1.25),ft1(1.5),ft2(1.75)
0.275	0.058754902	dt(1.25),ft1(1.5),ft2(2.0)
0.275	0.058754902	dt(1.25),ft1(1.5),ft2(2.25)
0.32769608	0.04144608	dt(1.25),ft1(1.75),ft2(1.25)
0.2752451	0.058102943	dt(1.25),ft1(1.75),ft2(1.5)
0.2517157	0.068553925	dt(1.25),ft1(1.75),ft2(1.75)
0.24803922	0.07069608	dt(1.25),ft1(1.75),ft2(2.0)
0.24779412	0.07076961	dt(1.25),ft1(1.75),ft2(2.25)
0.32769608	0.041455884	dt(1.25),ft1(2.0),ft2(1.25)
0.275	0.058338236	dt(1.25),ft1(2.0),ft2(1.5)
0.24901961	0.07091667	dt(1.25),ft1(2.0),ft2(1.75)
0.23406863	0.077102944	dt(1.25),ft1(2.0),ft2(2.0)
0.23186274	0.07833333	dt(1.25),ft1(2.0),ft2(2.25)
0.32769608	0.041455884	dt(1.25),ft1(2.25),ft2(1.25)
0.275	0.05835294	dt(1.25),ft1(2.25),ft2(1.5)
0.24901961	0.071186274	dt(1.25),ft1(2.25),ft2(1.75)
0.23186274	0.078686275	dt(1.25),ft1(2.25),ft2(2.0)
0.2254902	0.08247059	dt(1.25),ft1(2.25),ft2(2.25)
0.25686276	0.066303924	dt(1.5),ft1(1.25),ft2(1.25)
0.24142157	0.07567157	dt(1.5),ft1(1.25),ft2(1.5)
0.24117647	0.07615686	dt(1.5),ft1(1.25),ft2(1.75)
0.24117647	0.07615686	dt(1.5),ft1(1.25),ft2(2.0)
0.24117647	0.07615686	dt(1.5),ft1(1.25),ft2(2.25)
0.24215686	0.07283823	dt(1.5),ft1(1.5),ft2(1.25)
0.18651961	0.09944118	dt(1.5),ft1(1.5),ft2(1.5)
0.17941177	0.10720588	dt(1.5),ft1(1.5),ft2(1.75)
0.17867647	0.107539214	dt(1.5),ft1(1.5),ft2(2.0)
0.17867647	0.10754902	dt(1.5),ft1(1.5),ft2(2.25)
0.24215686	0.07329412	dt(1.5),ft1(1.75),ft2(1.25)
0.17990196	0.10528921	dt(1.5),ft1(1.75),ft2(1.5)
0.15147059	0.1259951	dt(1.5),ft1(1.75),ft2(1.75)
0.14705883	0.13085784	dt(1.5),ft1(1.75),ft2(2.0)
0.14681372	0.13112745	dt(1.5),ft1(1.75),ft2(2.25)
0.24215686	0.07332353	dt(1.5),ft1(2.0),ft2(1.25)
0.17916666	0.105975494	dt(1.5),ft1(2.0),ft2(1.5)
0.14705883	0.13095587	dt(1.5),ft1(2.0),ft2(1.75)
0.12892157	0.14383824	dt(1.5),ft1(2.0),ft2(2.0)
0.12622549	0.14671569	dt(1.5),ft1(2.0),ft2(2.25)
0.24215686	0.07332353	dt(1.5),ft1(2.25),ft2(1.25)
0.17916666	0.10602451	dt(1.5),ft1(2.25),ft2(1.5)
0.14705883	0.13167156	dt(1.5),ft1(2.25),ft2(1.75)
0.12622549	0.14733824	dt(1.5),ft1(2.25),ft2(2.0)
0.11691176	0.15523039	dt(1.5),ft1(2.25),ft2(2.25)
0.22769608	0.09487745	dt(1.75),ft1(1.25),ft2(1.25)
0.21053922	0.11072549	dt(1.75),ft1(1.25),ft2(1.5)
0.21004902	0.11198039	dt(1.75),ft1(1.25),ft2(1.75)
0.21004902	0.1119902	dt(1.75),ft1(1.25),ft2(2.0)
0.21004902	0.1119902	dt(1.75),ft1(1.25),ft2(2.25)
0.2125	0.10495588	dt(1.75),ft1(1.5),ft2(1.25)
0.15196079	0.14601961	dt(1.75),ft1(1.5),ft2(1.5)
0.14411765	0.15955392	dt(1.75),ft1(1.5),ft2(1.75)
0.14338236	0.16042647	dt(1.75),ft1(1.5),ft2(2.0)
0.14338236	0.16045588	dt(1.75),ft1(1.5),ft2(2.25)
0.2125	0.10596079	dt(1.75),ft1(1.75),ft2(1.25)
0.14509805	0.15556863	dt(1.75),ft1(1.75),ft2(1.5)
0.115686275	0.18855391	dt(1.75),ft1(1.75),ft2(1.75)
0.11029412	0.19734804	dt(1.75),ft1(1.75),ft2(2.0)
0.11004902	0.19794607	dt(1.75),ft1(1.75),ft2(2.25)
0.2125	0.106068626	dt(1.75),ft1(2.0),ft2(1.25)
0.14436275	0.15687746	dt(1.75),ft1(2.0),ft2(1.5)
0.11127451	0.19670098	dt(1.75),ft1(2.0),ft2(1.75)
0.09117647	0.21787255	dt(1.75),ft1(2.0),ft2(2.0)
0.0877451	0.22313726	dt(1.75),ft1(2.0),ft2(2.25)
0.2125	0.10607353	dt(1.75),ft1(2.25),ft2(1.25)
0.14436275	0.1570294	dt(1.75),ft1(2.25),ft2(1.5)
0.11127451	0.19807844	dt(1.75),ft1(2.25),ft2(1.75)
0.0882353	0.22391666	dt(1.75),ft1(2.25),ft2(2.0)
0.07769608	0.23729412	dt(1.75),ft1(2.25),ft2(2.25)
0.21960784	0.12053922	dt(2.0),ft1(1.25),ft2(1.25)
0.20122549	0.14373039	dt(2.0),ft1(1.25),ft2(1.5)
0.2007353	0.14620589	dt(2.0),ft1(1.25),ft2(1.75)
0.2007353	0.14623529	dt(2.0),ft1(1.25),ft2(2.0)
0.2007353	0.14623529	dt(2.0),ft1(1.25),ft2(2.25)
0.20392157	0.13410294	dt(2.0),ft1(1.5),ft2(1.25)
0.14166667	0.18918628	dt(2.0),ft1(1.5),ft2(1.5)
0.13382353	0.20903921	dt(2.0),ft1(1.5),ft2(1.75)
0.13308823	0.21063726	dt(2.0),ft1(1.5),ft2(2.0)
0.13308823	0.21068138	dt(2.0),ft1(1.5),ft2(2.25)
0.20392157	0.13591667	dt(2.0),ft1(1.75),ft2(1.25)
0.13455883	0.20264216	dt(2.0),ft1(1.75),ft2(1.5)
0.10465686	0.24731863	dt(2.0),ft1(1.75),ft2(1.75)
0.09901961	0.26034805	dt(2.0),ft1(1.75),ft2(2.0)
0.09877451	0.26156372	dt(2.0),ft1(1.75),ft2(2.25)
0.20392157	0.13616176	dt(2.0),ft1(2.0),ft2(1.25)
0.13357843	0.20497549	dt(2.0),ft1(2.0),ft2(1.5)
0.0997549	0.25906372	dt(2.0),ft1(2.0),ft2(1.75)
0.079166666	0.28831863	dt(2.0),ft1(2.0),ft2(2.0)
0.07573529	0.29652452	dt(2.0),ft1(2.0),ft2(2.25)
0.20392157	0.13617647	dt(2.0),ft1(2.25),ft2(1.25)
0.13357843	0.20528431	dt(2.0),ft1(2.25),ft2(1.5)
0.0997549	0.26124018	dt(2.0),ft1(2.25),ft2(1.75)
0.075980395	0.29733825	dt(2.0),ft1(2.25),ft2(2.0)
0.06519608	0.31663236	dt(2.0),ft1(2.25),ft2(2.25)
0.21642157	0.14015196	dt(2.25),ft1(1.25),ft2(1.25)
0.19803922	0.16967157	dt(2.25),ft1(1.25),ft2(1.5)
0.19754902	0.17360784	dt(2.25),ft1(1.25),ft2(1.75)
0.19754902	0.17368628	dt(2.25),ft1(1.25),ft2(2.0)
0.19754902	0.17368628	dt(2.25),ft1(1.25),ft2(2.25)
0.2007353	0.15694608	dt(2.25),ft1(1.5),ft2(1.25)
0.1384804	0.22387254	dt(2.25),ft1(1.5),ft2(1.5)
0.13063726	0.24953431	dt(2.25),ft1(1.5),ft2(1.75)
0.12990196	0.2522353	dt(2.25),ft1(1.5),ft2(2.0)
0.12990196	0.25232843	dt(2.25),ft1(1.5),ft2(2.25)
0.2007353	0.15962255	dt(2.25),ft1(1.75),ft2(1.25)
0.13112745	0.2412255	dt(2.25),ft1(1.75),ft2(1.5)
0.10122549	0.2959902	dt(2.25),ft1(1.75),ft2(1.75)
0.09558824	0.3132598	dt(2.25),ft1(1.75),ft2(2.0)
0.095343135	0.31510785	dt(2.25),ft1(1.75),ft2(2.25)
0.2007353	0.16002941	dt(2.25),ft1(2.0),ft2(1.25)
0.13014705	0.24460295	dt(2.25),ft1(2.0),ft2(1.5)
0.09607843	0.31106862	dt(2.25),ft1(2.0),ft2(1.75)
0.0754902	0.347951	dt(2.25),ft1(2.0),ft2(2.0)
0.071813725	0.35862744	dt(2.25),ft1(2.0),ft2(2.25)
0.2007353	0.16007353	dt(2.25),ft1(2.25),ft2(1.25)
0.13014705	0.24514216	dt(2.25),ft1(2.25),ft2(1.5)
0.09607843	0.31428432	dt(2.25),ft1(2.25),ft2(1.75)
0.07230392	0.36010784	dt(2.25),ft1(2.25),ft2(2.0)
0.06127451	0.3842451	dt(2.25),ft1(2.25),ft2(2.25)
