FRR	FAR	Caracteristicas
0.32867646	0.043367647	dt(1.25),ft3(1.25)
0.2769608	0.059759803	dt(1.25),ft3(1.5)
0.24901961	0.071705885	dt(1.25),ft3(1.75)
0.23186274	0.078941174	dt(1.25),ft3(2.0)
0.22279412	0.08367647	dt(1.25),ft3(2.25)
0.24264705	0.07898039	dt(1.5),ft3(1.25)
0.18161765	0.11016177	dt(1.5),ft3(1.5)
0.14681372	0.13358824	dt(1.5),ft3(1.75)
0.12622549	0.14852941	dt(1.5),ft3(2.0)
0.11299019	0.15882353	dt(1.5),ft3(2.25)
0.2120098	0.116480395	dt(1.75),ft3(1.25)
0.14705883	0.16504411	dt(1.75),ft3(1.5)
0.11053921	0.20216666	dt(1.75),ft3(1.75)
0.0882353	0.22676471	dt(1.75),ft3(2.0)
0.074264705	0.24425	dt(1.75),ft3(2.25)
0.20245098	0.15133823	dt(2.0),ft3(1.25)
0.13627452	0.2167696	dt(2.0),ft3(1.5)
0.09901961	0.26744607	dt(2.0),ft3(1.75)
0.075980395	0.30233824	dt(2.0),ft3(2.0)
0.06127451	0.3275098	dt(2.0),ft3(2.25)
0.1995098	0.17961274	dt(2.25),ft3(1.25)
0.13308823	0.26005882	dt(2.25),ft3(1.5)
0.09558824	0.32290685	dt(2.25),ft3(1.75)
0.07230392	0.36695588	dt(2.25),ft3(2.0)
0.05735294	0.39918628	dt(2.25),ft3(2.25)
