FRR	FAR	Caracteristicas
0.23602942	0.14498529	ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.25)
0.2252451	0.16907842	ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.5)
0.2252451	0.17801471	ft1(1.25),ft2(1.25),ft3(1.25),ft4(1.75)
0.2252451	0.18129902	ft1(1.25),ft2(1.25),ft3(1.25),ft4(2.0)
0.2252451	0.18238725	ft1(1.25),ft2(1.25),ft3(1.25),ft4(2.25)
0.23088235	0.14730392	ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.25)
0.21519607	0.17646079	ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.5)
0.21519607	0.18770589	ft1(1.25),ft2(1.25),ft3(1.5),ft4(1.75)
0.21519607	0.19210294	ft1(1.25),ft2(1.25),ft3(1.5),ft4(2.0)
0.21519607	0.19370589	ft1(1.25),ft2(1.25),ft3(1.5),ft4(2.25)
0.23063725	0.14734314	ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.25)
0.21470588	0.17655882	ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.5)
0.21470588	0.18788725	ft1(1.25),ft2(1.25),ft3(1.75),ft4(1.75)
0.21470588	0.19234313	ft1(1.25),ft2(1.25),ft3(1.75),ft4(2.0)
0.21470588	0.1939902	ft1(1.25),ft2(1.25),ft3(1.75),ft4(2.25)
0.23063725	0.14734314	ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.25)
0.21470588	0.17655882	ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.5)
0.21470588	0.18788725	ft1(1.25),ft2(1.25),ft3(2.0),ft4(1.75)
0.21470588	0.19234313	ft1(1.25),ft2(1.25),ft3(2.0),ft4(2.0)
0.21470588	0.1939902	ft1(1.25),ft2(1.25),ft3(2.0),ft4(2.25)
0.23063725	0.14734314	ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.25)
0.21470588	0.17655882	ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.5)
0.21470588	0.18788725	ft1(1.25),ft2(1.25),ft3(2.25),ft4(1.75)
0.21470588	0.19234313	ft1(1.25),ft2(1.25),ft3(2.25),ft4(2.0)
0.21470588	0.1939902	ft1(1.25),ft2(1.25),ft3(2.25),ft4(2.25)
0.23063725	0.15255392	ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.25)
0.21397059	0.18516177	ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.5)
0.21397059	0.1974951	ft1(1.25),ft2(1.5),ft3(1.25),ft4(1.75)
