FRR	FAR	Caracteristicas
0.21372549	0.20566666	ft1(1.25),ft3(1.25)
0.19656862	0.24337254	ft1(1.25),ft3(1.5)
0.19558823	0.252299	ft1(1.25),ft3(1.75)
0.19558823	0.2537402	ft1(1.25),ft3(2.0)
0.19558823	0.25393626	ft1(1.25),ft3(2.25)
0.19803922	0.25282353	ft1(1.5),ft3(1.25)
0.1370098	0.34109312	ft1(1.5),ft3(1.5)
0.12843138	0.3737157	ft1(1.5),ft3(1.75)
0.12769608	0.3814951	ft1(1.5),ft3(2.0)
0.12769608	0.38306862	ft1(1.5),ft3(2.25)
0.19754902	0.2702696	ft1(1.75),ft3(1.25)
0.13161765	0.39168626	ft1(1.75),ft3(1.5)
0.09852941	0.4617549	ft1(1.75),ft3(1.75)
0.09240196	0.48635295	ft1(1.75),ft3(2.0)
0.092156865	0.4927696	ft1(1.75),ft3(2.25)
0.19754902	0.2765	ft1(2.0),ft3(1.25)
0.13112745	0.41207352	ft1(2.0),ft3(1.5)
0.09338235	0.5088431	ft1(2.0),ft3(1.75)
0.07303922	0.55934316	ft1(2.0),ft3(2.0)
0.068627454	0.57741666	ft1(2.0),ft3(2.25)
0.19754902	0.2787059	ft1(2.25),ft3(1.25)
0.13112745	0.41917157	ft1(2.25),ft3(1.5)
0.09313726	0.52847546	ft1(2.25),ft3(1.75)
0.069362745	0.6006716	ft1(2.25),ft3(2.0)
0.057843138	0.6386029	ft1(2.25),ft3(2.25)
