FRR	FAR	Caracteristicas
0.22794117	0.1745	ft2(1.25),ft3(1.25),ft4(1.25)
0.21715686	0.2025	ft2(1.25),ft3(1.25),ft4(1.5)
0.21715686	0.21328922	ft2(1.25),ft3(1.25),ft4(1.75)
0.21715686	0.21731862	ft2(1.25),ft3(1.25),ft4(2.0)
0.21715686	0.2187402	ft2(1.25),ft3(1.25),ft4(2.25)
0.21740197	0.18516177	ft2(1.25),ft3(1.5),ft4(1.25)
0.2	0.22059804	ft2(1.25),ft3(1.5),ft4(1.5)
0.2	0.23420589	ft2(1.25),ft3(1.5),ft4(1.75)
0.2	0.23957352	ft2(1.25),ft3(1.5),ft4(2.0)
0.2	0.24160784	ft2(1.25),ft3(1.5),ft4(2.25)
0.21715686	0.18589215	ft2(1.25),ft3(1.75),ft4(1.25)
0.19901961	0.22204901	ft2(1.25),ft3(1.75),ft4(1.5)
0.19877452	0.23593627	ft2(1.25),ft3(1.75),ft4(1.75)
0.19877452	0.24144118	ft2(1.25),ft3(1.75),ft4(2.0)
0.19877452	0.24353921	ft2(1.25),ft3(1.75),ft4(2.25)
0.21715686	0.18590686	ft2(1.25),ft3(2.0),ft4(1.25)
0.19901961	0.22214216	ft2(1.25),ft3(2.0),ft4(1.5)
0.19877452	0.23607352	ft2(1.25),ft3(2.0),ft4(1.75)
0.19877452	0.24159314	ft2(1.25),ft3(2.0),ft4(2.0)
0.19877452	0.24369118	ft2(1.25),ft3(2.0),ft4(2.25)
0.21715686	0.18590686	ft2(1.25),ft3(2.25),ft4(1.25)
0.19901961	0.22214706	ft2(1.25),ft3(2.25),ft4(1.5)
0.19877452	0.23608333	ft2(1.25),ft3(2.25),ft4(1.75)
0.19877452	0.24160294	ft2(1.25),ft3(2.25),ft4(2.0)
0.19877452	0.24370098	ft2(1.25),ft3(2.25),ft4(2.25)
0.21764706	0.19904903	ft2(1.5),ft3(1.25),ft4(1.25)
0.19877452	0.2420098	ft2(1.5),ft3(1.25),ft4(1.5)
0.19877452	0.2577843	ft2(1.5),ft3(1.25),ft4(1.75)
0.19877452	0.26351961	ft2(1.5),ft3(1.25),ft4(2.0)
0.19877452	0.26545587	ft2(1.5),ft3(1.25),ft4(2.25)
0.20122549	0.2272598	ft2(1.5),ft3(1.5),ft4(1.25)
0.14191176	0.30930883	ft2(1.5),ft3(1.5),ft4(1.5)
0.13872549	0.34416178	ft2(1.5),ft3(1.5),ft4(1.75)
0.13872549	0.35841176	ft2(1.5),ft3(1.5),ft4(2.0)
0.13872549	0.3637745	ft2(1.5),ft3(1.5),ft4(2.25)
0.2007353	0.23114216	ft2(1.5),ft3(1.75),ft4(1.25)
0.13651961	0.32092646	ft2(1.5),ft3(1.75),ft4(1.5)
0.12916666	0.36234805	ft2(1.5),ft3(1.75),ft4(1.75)
0.12916666	0.37934804	ft2(1.5),ft3(1.75),ft4(2.0)
0.12916666	0.386	ft2(1.5),ft3(1.75),ft4(2.25)
0.2007353	0.23134804	ft2(1.5),ft3(2.0),ft4(1.25)
0.1360294	0.32190686	ft2(1.5),ft3(2.0),ft4(1.5)
0.12843138	0.36421567	ft2(1.5),ft3(2.0),ft4(1.75)
0.12843138	0.3815245	ft2(1.5),ft3(2.0),ft4(2.0)
0.12843138	0.3882696	ft2(1.5),ft3(2.0),ft4(2.25)
0.2007353	0.23135294	ft2(1.5),ft3(2.25),ft4(1.25)
0.13578431	0.3219755	ft2(1.5),ft3(2.25),ft4(1.5)
0.12818627	0.3644412	ft2(1.5),ft3(2.25),ft4(1.75)
0.12818627	0.38177451	ft2(1.5),ft3(2.25),ft4(2.0)
0.12818627	0.3885343	ft2(1.5),ft3(2.25),ft4(2.25)
0.21715686	0.20206863	ft2(1.75),ft3(1.25),ft4(1.25)
0.19803922	0.25014216	ft2(1.75),ft3(1.25),ft4(1.5)
