FRR	FAR	Caracteristicas
0.19289216	0.0940098	dt(1.5),ft1(1.5),ft2(1.5),ft3(1.5),ft4(1.5)
0.19068627	0.09730392	dt(1.5),ft1(1.5),ft2(1.5),ft3(1.5),ft4(2.0)
0.19117647	0.09476471	dt(1.5),ft1(1.5),ft2(1.5),ft3(2.0),ft4(1.5)
0.18651961	0.099436276	dt(1.5),ft1(1.5),ft2(1.5),ft3(2.0),ft4(2.0)
0.19019608	0.09635294	dt(1.5),ft1(1.5),ft2(2.0),ft3(1.5),ft4(1.5)
0.18627451	0.10187745	dt(1.5),ft1(1.5),ft2(2.0),ft3(1.5),ft4(2.0)
0.18848039	0.09717647	dt(1.5),ft1(1.5),ft2(2.0),ft3(2.0),ft4(1.5)
0.17892157	0.10737255	dt(1.5),ft1(1.5),ft2(2.0),ft3(2.0),ft4(2.0)
0.19068627	0.0982402	dt(1.5),ft1(2.0),ft2(1.5),ft3(1.5),ft4(1.5)
0.18848039	0.10157353	dt(1.5),ft1(2.0),ft2(1.5),ft3(1.5),ft4(2.0)
0.18504901	0.10085785	dt(1.5),ft1(2.0),ft2(1.5),ft3(2.0),ft4(1.5)
0.17916666	0.10596569	dt(1.5),ft1(2.0),ft2(1.5),ft3(2.0),ft4(2.0)
0.18578431	0.10351471	dt(1.5),ft1(2.0),ft2(2.0),ft3(1.5),ft4(1.5)
0.18186274	0.11005392	dt(1.5),ft1(2.0),ft2(2.0),ft3(1.5),ft4(2.0)
0.175	0.109769605	dt(1.5),ft1(2.0),ft2(2.0),ft3(2.0),ft4(1.5)
0.13259804	0.14116667	dt(1.5),ft1(2.0),ft2(2.0),ft3(2.0),ft4(2.0)
0.1497549	0.17141667	dt(2.0),ft1(1.5),ft2(1.5),ft3(1.5),ft4(1.5)
0.14656863	0.18407352	dt(2.0),ft1(1.5),ft2(1.5),ft3(1.5),ft4(2.0)
0.14803922	0.17288725	dt(2.0),ft1(1.5),ft2(1.5),ft3(2.0),ft4(1.5)
0.14166667	0.18905392	dt(2.0),ft1(1.5),ft2(1.5),ft3(2.0),ft4(2.0)
0.14705883	0.17658824	dt(2.0),ft1(1.5),ft2(2.0),ft3(1.5),ft4(1.5)
0.14191176	0.1952353	dt(2.0),ft1(1.5),ft2(2.0),ft3(1.5),ft4(2.0)
0.14534314	0.17818627	dt(2.0),ft1(1.5),ft2(2.0),ft3(2.0),ft4(1.5)
0.13357843	0.20842648	dt(2.0),ft1(1.5),ft2(2.0),ft3(2.0),ft4(2.0)
0.14705883	0.18194118	dt(2.0),ft1(2.0),ft2(1.5),ft3(1.5),ft4(1.5)
0.14387254	0.1947647	dt(2.0),ft1(2.0),ft2(1.5),ft3(1.5),ft4(2.0)
0.14142157	0.18740687	dt(2.0),ft1(2.0),ft2(1.5),ft3(2.0),ft4(1.5)
0.13382353	0.20478922	dt(2.0),ft1(2.0),ft2(1.5),ft3(2.0),ft4(2.0)
0.14191176	0.19433823	dt(2.0),ft1(2.0),ft2(2.0),ft3(1.5),ft4(1.5)
0.13651961	0.21611275	dt(2.0),ft1(2.0),ft2(2.0),ft3(1.5),ft4(2.0)
0.13088235	0.20669608	dt(2.0),ft1(2.0),ft2(2.0),ft3(2.0),ft4(1.5)
0.08455882	0.27825	dt(2.0),ft1(2.0),ft2(2.0),ft3(2.0),ft4(2.0)
