FRR	FAR	Caracteristicas
0.19068627	0.0982451	dt(1.5),ft2(1.5),ft3(1.5),ft4(1.5)
0.18848039	0.10157843	dt(1.5),ft2(1.5),ft3(1.5),ft4(2.0)
0.18504901	0.10089706	dt(1.5),ft2(1.5),ft3(2.0),ft4(1.5)
0.17916666	0.1060049	dt(1.5),ft2(1.5),ft3(2.0),ft4(2.0)
0.18578431	0.10353921	dt(1.5),ft2(2.0),ft3(1.5),ft4(1.5)
0.18186274	0.110083334	dt(1.5),ft2(2.0),ft3(1.5),ft4(2.0)
0.175	0.11056863	dt(1.5),ft2(2.0),ft3(2.0),ft4(1.5)
0.13137256	0.14355393	dt(1.5),ft2(2.0),ft3(2.0),ft4(2.0)
0.14705883	0.18204412	dt(2.0),ft2(1.5),ft3(1.5),ft4(1.5)
0.14387254	0.19486764	dt(2.0),ft2(1.5),ft3(1.5),ft4(2.0)
0.14142157	0.18771078	dt(2.0),ft2(1.5),ft3(2.0),ft4(1.5)
0.13382353	0.20510294	dt(2.0),ft2(1.5),ft3(2.0),ft4(2.0)
0.14191176	0.19458333	dt(2.0),ft2(2.0),ft3(1.5),ft4(1.5)
0.13651961	0.21638726	dt(2.0),ft2(2.0),ft3(1.5),ft4(2.0)
0.13088235	0.2094902	dt(2.0),ft2(2.0),ft3(2.0),ft4(1.5)
0.083088234	0.28562254	dt(2.0),ft2(2.0),ft3(2.0),ft4(2.0)
