FRR	FAR	numDesviaciones
0.33382353	0.11289706	0.0
0.3125	0.12703921	0.05
0.28970587	0.14207353	0.1
0.26838234	0.15781373	0.15
0.25220588	0.17408824	0.2
0.23946078	0.19156373	0.25
0.22916667	0.20919608	0.3
0.21813725	0.22730392	0.35000002
0.20416667	0.24565196	0.40000004
0.19509804	0.26463726	0.45000005
0.1870098	0.28396568	0.50000006
0.17745098	0.30310294	0.5500001
0.16985294	0.32204902	0.6000001
0.1620098	0.34088725	0.6500001
0.15588236	0.35903922	0.7000001
0.1497549	0.3769559	0.7500001
0.14387254	0.39502943	0.80000013
0.1384804	0.41290686	0.85000014
0.13186274	0.43028432	0.90000015
0.1264706	0.4477598	0.95000017
0.12205882	0.46492156	1.0000001
0.11519608	0.482	1.0500001
0.11102941	0.49927452	1.1
0.10710784	0.5149706	1.15
0.104166664	0.53090197	1.1999999
0.09901961	0.5463088	1.2499999
0.09656863	0.5613235	1.2999998
0.09362745	0.57567644	1.3499998
0.089705884	0.5894755	1.3999997
0.08504902	0.60292155	1.4499997
0.07965686	0.6161961	1.4999996
0.07696079	0.62907845	1.5499996
0.07303922	0.6416324	1.5999995
0.068627454	0.6532451	1.6499995
0.066911764	0.66490686	1.6999995
0.062990196	0.6762941	1.7499994
0.061519608	0.6870147	1.7999994
0.05980392	0.6974755	1.8499993
0.05735294	0.7073628	1.8999993
0.05612745	0.7170441	1.9499992
0.05392157	0.72603434	1.9999992
0.051715687	0.73481864	2.0499992
0.049754903	0.7430539	2.0999992
0.04754902	0.7510539	2.1499991
0.045588236	0.7585147	2.199999
0.043382354	0.76580393	2.249999
0.042892158	0.77210784	2.299999
0.042156864	0.7789559	2.349999
0.03995098	0.7849853	2.399999
0.0377451	0.79105884	2.4499989
0.03651961	0.7967598	2.4999988
0.03529412	0.8019118	2.5499988
0.034803923	0.8070588	2.5999987
0.033088237	0.81166667	2.6499987
0.032107845	0.8162549	2.6999986
0.03137255	0.8205441	2.7499986
0.031127451	0.8244412	2.7999985
0.02867647	0.8282108	2.8499985
0.02745098	0.831848	2.8999984
0.02622549	0.8352402	2.9499984
0.025735294	0.8386422	2.9999983
