FRR	FAR	numDesviaciones
0.33553922	0.10026961	0.0
0.3125	0.11344608	0.05
0.29117647	0.12783334	0.1
0.2723039	0.14242157	0.15
0.25490198	0.15770099	0.2
0.24093138	0.17370588	0.25
0.22892156	0.1907402	0.3
0.21544118	0.20807353	0.35000002
0.20441176	0.22585784	0.40000004
0.19387256	0.24403922	0.45000005
0.1860294	0.26284313	0.50000006
0.17696078	0.2814804	0.5500001
0.17083333	0.30030882	0.6000001
0.1637255	0.31916177	0.6500001
0.15661764	0.33743137	0.7000001
0.15	0.35518137	0.7500001
0.14387254	0.3727451	0.80000013
0.1367647	0.39080882	0.85000014
0.13088235	0.40833333	0.90000015
0.12696078	0.42635295	0.95000017
0.12107843	0.44401962	1.0000001
0.11838235	0.46082842	1.0500001
0.1122549	0.47789705	1.1
0.10857843	0.49452943	1.15
0.10539216	0.5104608	1.1999999
0.099509805	0.5259265	1.2499999
0.097794116	0.5419118	1.2999998
0.092892155	0.5569804	1.3499998
0.08897059	0.57138723	1.3999997
0.085539214	0.58553433	1.4499997
0.08014706	0.5992549	1.4999996
0.07696079	0.61255884	1.5499996
0.07230392	0.6254216	1.5999995
0.068627454	0.63764703	1.6499995
0.06642157	0.64986277	1.6999995
0.06348039	0.66161275	1.7499994
0.06127451	0.6727843	1.7999994
0.05980392	0.6836078	1.8499993
0.05735294	0.69434804	1.8999993
0.05612745	0.70438236	1.9499992
0.05367647	0.7139657	1.9999992
0.052205883	0.7227402	2.0499992
0.0502451	0.7317353	2.0999992
0.047058824	0.74001473	2.1499991
0.04509804	0.7480735	2.199999
0.043382354	0.75533825	2.249999
0.042892158	0.76268625	2.299999
0.04142157	0.7693088	2.349999
0.03995098	0.77581865	2.399999
0.0377451	0.7819755	2.4499989
0.03627451	0.78784806	2.4999988
0.03504902	0.7936814	2.5499988
0.034313727	0.7988137	2.5999987
0.033088237	0.8039804	2.6499987
0.032352943	0.80890197	2.6999986
0.031127451	0.81363237	2.7499986
0.030392157	0.8178039	2.7999985
0.028431373	0.8219804	2.8499985
0.02745098	0.8257255	2.8999984
0.02622549	0.8295245	2.9499984
0.025735294	0.83278924	2.9999983
