FRR	FAR	numDesviaciones
0.3409314	0.091936275	0.0
0.32034314	0.10394118	0.05
0.29656863	0.11676471	0.1
0.27745098	0.13044608	0.15
0.26078433	0.14516667	0.2
0.24460784	0.1604951	0.25
0.22941177	0.17659314	0.3
0.21495098	0.1927255	0.35000002
0.20612745	0.20952941	0.40000004
0.19607843	0.227	0.45000005
0.1879902	0.24455392	0.50000006
0.18112744	0.26302943	0.5500001
0.1732843	0.28137255	0.6000001
0.16617647	0.29963726	0.6500001
0.15882353	0.3177108	0.7000001
0.1495098	0.33491176	0.7500001
0.14436275	0.3527059	0.80000013
0.1367647	0.37059313	0.85000014
0.13259804	0.3885	0.90000015
0.12696078	0.4062402	0.95000017
0.121323526	0.42382842	1.0000001
0.11691176	0.44117647	1.0500001
0.1122549	0.45819607	1.1
0.10931373	0.4747745	1.15
0.10490196	0.4912353	1.1999999
0.10073529	0.50764215	1.2499999
0.09730392	0.5232794	1.2999998
0.09387255	0.53835297	1.3499998
0.08848039	0.5534363	1.3999997
0.08455882	0.5683382	1.4499997
0.08112745	0.58256865	1.4999996
0.07647059	0.5967549	1.5499996
0.07328431	0.60987747	1.5999995
0.068627454	0.6227451	1.6499995
0.06642157	0.6358824	1.6999995
0.064705886	0.64809805	1.7499994
0.062009804	0.6594559	1.7999994
0.060539216	0.67092156	1.8499993
0.057843138	0.68202454	1.8999993
0.05612745	0.6928725	1.9499992
0.05367647	0.7029755	1.9999992
0.05269608	0.7125784	2.0499992
0.0502451	0.72137254	2.0999992
0.048039217	0.7304657	2.1499991
0.045588236	0.7383922	2.199999
0.044852942	0.7458235	2.249999
0.042401962	0.75337744	2.299999
0.040931374	0.76037747	2.349999
0.04019608	0.76692647	2.399999
0.0377451	0.77336764	2.4499989
0.03651961	0.7792206	2.4999988
0.035539217	0.7849657	2.5499988
0.03382353	0.7900539	2.5999987
0.032352943	0.7950931	2.6499987
0.030882353	0.79988235	2.6999986
0.030392157	0.8045833	2.7499986
0.029411765	0.8090931	2.7999985
0.028431373	0.81363237	2.8499985
0.026960785	0.81786764	2.8999984
0.02622549	0.8220245	2.9499984
0.025490196	0.82585293	2.9999983
