FRR	FAR	numDesviaciones
0.33970588	0.08304412	0.0
0.31519607	0.09426961	0.05
0.29583332	0.10582353	0.1
0.2767157	0.11768137	0.15
0.2622549	0.13079412	0.2
0.24828431	0.14454901	0.25
0.23480392	0.15909804	0.3
0.22107843	0.17376961	0.35000002
0.20906863	0.18879412	0.40000004
0.19730392	0.20494609	0.45000005
0.18970588	0.22103432	0.50000006
0.18137255	0.23752451	0.5500001
0.1742647	0.2544755	0.6000001
0.16348039	0.2709461	0.6500001
0.15539216	0.2875049	0.7000001
0.14852941	0.3042745	0.7500001
0.14191176	0.3207353	0.80000013
0.13725491	0.3372157	0.85000014
0.13161765	0.3540343	0.90000015
0.12622549	0.370299	0.95000017
0.120588236	0.38658825	1.0000001
0.11617647	0.4029902	1.0500001
0.1120098	0.4192745	1.1
0.10808823	0.4353088	1.15
0.104166664	0.4512794	1.1999999
0.100245096	0.46612746	1.2499999
0.09656863	0.48161274	1.2999998
0.09436274	0.49708822	1.3499998
0.08946078	0.5122402	1.3999997
0.08529412	0.5264902	1.4499997
0.08014706	0.54119116	1.4999996
0.075980395	0.5549363	1.5499996
0.07254902	0.56841666	1.5999995
0.07083333	0.58142644	1.6499995
0.06789216	0.5947255	1.6999995
0.06666667	0.60804904	1.7499994
0.063725494	0.6205784	1.7999994
0.060784314	0.6328529	1.8499993
0.058088236	0.6446422	1.8999993
0.055392157	0.6561176	1.9499992
0.052941177	0.66714215	1.9999992
0.050735295	0.67777944	2.0499992
0.04901961	0.68762743	2.0999992
0.047058824	0.69810295	2.1499991
0.045588236	0.70763725	2.199999
0.043137256	0.7168284	2.249999
0.042156864	0.72533333	2.299999
0.039705884	0.73390687	2.349999
0.038480394	0.74164706	2.399999
0.0375	0.7495196	2.4499989
0.036764707	0.7567255	2.4999988
0.03529412	0.7634853	2.5499988
0.03382353	0.7699755	2.5999987
0.03259804	0.77617645	2.6499987
0.03137255	0.7822451	2.6999986
0.030147059	0.7880098	2.7499986
0.028921569	0.79335785	2.7999985
0.027941177	0.7985686	2.8499985
0.026960785	0.8036078	2.8999984
0.02622549	0.808	2.9499984
0.025490196	0.81232846	2.9999983
