FRR	FAR	numDesviaciones
0.43357843	0.037661765	0.0
0.41789216	0.041063726	0.05
0.39950982	0.044794116	0.1
0.38357842	0.048563726	0.15
0.37034315	0.05262745	0.2
0.35171568	0.056455884	0.25
0.33284312	0.06079412	0.3
0.31495097	0.06478921	0.35000002
0.2992647	0.069416665	0.40000004
0.28504902	0.07417647	0.45000005
0.27328432	0.079294115	0.50000006
0.26102942	0.084308825	0.5500001
0.24485295	0.08938235	0.6000001
0.22990195	0.09456372	0.6500001
0.21862745	0.10032353	0.7000001
0.20661765	0.105862744	0.7500001
0.19754902	0.11160294	0.80000013
0.18504901	0.117269605	0.85000014
0.17524509	0.12319118	0.90000015
0.16764706	0.12919118	0.95000017
0.15931372	0.13547058	1.0000001
0.15	0.14207353	1.0500001
0.13897058	0.14828922	1.1
0.13235295	0.15475981	1.15
0.1257353	0.16155392	1.1999999
0.11764706	0.16833824	1.2499999
0.108333334	0.17535295	1.2999998
0.101960786	0.18213725	1.3499998
0.095343135	0.18891667	1.3999997
0.08946078	0.19596569	1.4499997
0.08284314	0.20299509	1.4999996
0.07745098	0.2102255	1.5499996
0.07083333	0.21745588	1.5999995
0.06593137	0.22492647	1.6499995
0.0625	0.23244117	1.6999995
0.05857843	0.24003921	1.7499994
0.053186275	0.24780883	1.7999994
0.0502451	0.25542158	1.8499993
0.048039217	0.26320097	1.8999993
0.044607844	0.27066666	1.9499992
0.042156864	0.2784853	1.9999992
0.03995098	0.2860588	2.0499992
0.03627451	0.29338235	2.0999992
0.03284314	0.30114707	2.1499991
0.031862747	0.30908823	2.199999
0.029656863	0.31670588	2.249999
0.027696079	0.32437745	2.299999
0.026470589	0.33218136	2.349999
0.025	0.34010783	2.399999
0.02377451	0.34791666	2.4499989
0.02254902	0.3557892	2.4999988
0.020588236	0.36332843	2.5499988
0.019362746	0.3712206	2.5999987
0.017401962	0.37890196	2.6499987
0.015931373	0.38640687	2.6999986
0.014705882	0.39423528	2.7499986
0.013480392	0.4017157	2.7999985
0.0125	0.40882844	2.8499985
0.01127451	0.41609314	2.8999984
0.01127451	0.42332354	2.9499984
0.009313726	0.4304657	2.9999983
