FRR	FAR	numDesviaciones
0.33161765	0.13868627	0.0
0.30882353	0.15495588	0.05
0.2872549	0.17148039	0.1
0.26642156	0.18891177	0.15
0.2514706	0.20759805	0.2
0.2382353	0.22613725	0.25
0.22941177	0.24514706	0.3
0.21838236	0.26420587	0.35000002
0.20441176	0.28378922	0.40000004
0.19485295	0.30337256	0.45000005
0.1879902	0.32309803	0.50000006
0.17769608	0.3425098	0.5500001
0.16789216	0.36214706	0.6000001
0.1622549	0.3809804	0.6500001
0.15686275	0.39941666	0.7000001
0.15	0.41709313	0.7500001
0.14362745	0.43437254	0.80000013
0.1377451	0.45188725	0.85000014
0.13284314	0.46937746	0.90000015
0.12622549	0.48640198	0.95000017
0.12009804	0.50356865	1.0000001
0.11446078	0.5204412	1.0500001
0.11053921	0.5362255	1.1
0.10759804	0.5513529	1.15
0.10367647	0.5665	1.1999999
0.099509805	0.58064705	1.2499999
0.09730392	0.59460294	1.2999998
0.09313726	0.6080147	1.3499998
0.087990195	0.6215735	1.3999997
0.08455882	0.63434315	1.4499997
0.08039216	0.64640194	1.4999996
0.07647059	0.65862745	1.5499996
0.073529415	0.6703382	1.5999995
0.06960785	0.6813039	1.6499995
0.066176474	0.69212747	1.6999995
0.0632353	0.7023137	1.7499994
0.06127451	0.7127157	1.7999994
0.059313726	0.72187746	1.8499993
0.057843138	0.73088723	1.8999993
0.055637255	0.73963237	1.9499992
0.053186275	0.7479412	1.9999992
0.05245098	0.75565195	2.0499992
0.05122549	0.7632745	2.0999992
0.047303922	0.77040195	2.1499991
0.045588236	0.7772108	2.199999
0.043627452	0.78362256	2.249999
0.04264706	0.7894706	2.299999
0.041666668	0.79534805	2.349999
0.040441178	0.8008922	2.399999
0.038235296	0.8059804	2.4499989
0.03627451	0.81085294	2.4999988
0.035539217	0.8155539	2.5499988
0.034803923	0.81989217	2.5999987
0.033333335	0.82392645	2.6499987
0.032107845	0.82781374	2.6999986
0.03137255	0.8315833	2.7499986
0.030637255	0.8349314	2.7999985
0.029411765	0.83843136	2.8499985
0.027696079	0.8418235	2.8999984
0.026470589	0.8449657	2.9499984
0.025980392	0.84789217	2.9999983
