FRR	FAR	numDesviaciones
0.32990196	0.13963726	0.0
0.3095588	0.15568627	0.05
0.28651962	0.17231372	0.1
0.26593137	0.1897353	0.15
0.2509804	0.20846078	0.2
0.2389706	0.2269902	0.25
0.22916667	0.24634314	0.3
0.21911764	0.26526472	0.35000002
0.20514706	0.28515688	0.40000004
0.19558823	0.30465686	0.45000005
0.1860294	0.32478923	0.50000006
0.17843138	0.34441176	0.5500001
0.16813725	0.36364707	0.6000001
0.16176471	0.38252452	0.6500001
0.15514706	0.40093136	0.7000001
0.1502451	0.41861764	0.7500001
0.14215687	0.43589705	0.80000013
0.13897058	0.45303923	0.85000014
0.13333334	0.47061273	0.90000015
0.1257353	0.48755392	0.95000017
0.11985294	0.5043578	1.0000001
0.11519608	0.52128434	1.0500001
0.11029412	0.5369853	1.1
0.10637255	0.5524951	1.15
0.10318627	0.5672451	1.1999999
0.1004902	0.58142155	1.2499999
0.09681372	0.5952745	1.2999998
0.09313726	0.60889214	1.3499998
0.08921569	0.6220539	1.3999997
0.084803924	0.6347598	1.4499997
0.08014706	0.64708334	1.4999996
0.07622549	0.6593431	1.5499996
0.073529415	0.6708431	1.5999995
0.07009804	0.68165684	1.6499995
0.066176474	0.6925049	1.6999995
0.062990196	0.70290196	1.7499994
0.060784314	0.71285784	1.7999994
0.05980392	0.7222451	1.8499993
0.058088236	0.7312696	1.8999993
0.055882353	0.7396912	1.9499992
0.054166667	0.7481471	1.9999992
0.052205883	0.75586766	2.0499992
0.049509805	0.7634706	2.0999992
0.046813726	0.7704804	2.1499991
0.04534314	0.7775294	2.199999
0.043627452	0.78355885	2.249999
0.04264706	0.7897059	2.299999
0.04142157	0.7952745	2.349999
0.03995098	0.80089706	2.399999
0.038235296	0.8060588	2.4499989
0.03651961	0.8109363	2.4999988
0.035539217	0.8154853	2.5499988
0.034803923	0.81988233	2.5999987
0.03284314	0.824049	2.6499987
0.032107845	0.828	2.6999986
0.03137255	0.83152944	2.7499986
0.030637255	0.835	2.7999985
0.029411765	0.8384461	2.8499985
0.027696079	0.8418284	2.8999984
0.026470589	0.8449265	2.9499984
0.025980392	0.8476863	2.9999983
