FRR	FAR	numDesviaciones
0.33161765	0.15258333	0.0
0.30980393	0.16907352	0.05
0.2872549	0.18618137	0.1
0.26764706	0.20363235	0.15
0.2531863	0.22219117	0.2
0.24044117	0.24080393	0.25
0.22941177	0.2594559	0.3
0.22009803	0.27820587	0.35000002
0.20490196	0.29757354	0.40000004
0.19387256	0.3172304	0.45000005
0.1867647	0.3369902	0.50000006
0.17892157	0.35585293	0.5500001
0.16985294	0.37505883	0.6000001
0.1627451	0.39368138	0.6500001
0.15637255	0.4116912	0.7000001
0.1497549	0.4290392	0.7500001
0.14362745	0.44608334	0.80000013
0.1382353	0.46332353	0.85000014
0.13235295	0.48063725	0.90000015
0.1264706	0.49720097	0.95000017
0.120343134	0.51396567	1.0000001
0.11372549	0.5307892	1.0500001
0.11053921	0.5460637	1.1
0.10784314	0.56068134	1.15
0.10490196	0.57518625	1.1999999
0.099509805	0.589348	1.2499999
0.097794116	0.6030441	1.2999998
0.092156865	0.6162353	1.3499998
0.0877451	0.62910295	1.3999997
0.08431373	0.64182353	1.4499997
0.08039216	0.6540343	1.4999996
0.07696079	0.66587746	1.5499996
0.07328431	0.6771029	1.5999995
0.06911765	0.687701	1.6499995
0.066176474	0.6982745	1.6999995
0.06421569	0.7086471	1.7499994
0.060784314	0.7181961	1.7999994
0.059313726	0.7273088	1.8499993
0.057843138	0.73664707	1.8999993
0.055392157	0.7450196	1.9499992
0.053431373	0.7530686	1.9999992
0.052941177	0.760549	2.0499992
0.05122549	0.7677745	2.0999992
0.047303922	0.7748824	2.1499991
0.045833334	0.78144115	2.199999
0.044362746	0.7876176	2.249999
0.04264706	0.79335785	2.299999
0.041666668	0.79913723	2.349999
0.03995098	0.804451	2.399999
0.037990198	0.8093137	2.4499989
0.03627451	0.81410784	2.4999988
0.035539217	0.81870586	2.5499988
0.03504902	0.8228235	2.5999987
0.033333335	0.82689214	2.6499987
0.032107845	0.8308529	2.6999986
0.031127451	0.83441174	2.7499986
0.030637255	0.83772546	2.7999985
0.029656863	0.8409853	2.8499985
0.027941177	0.84429413	2.8999984
0.026470589	0.8472549	2.9499984
0.025980392	0.8502794	2.9999983
