FRR	FAR	numDesviaciones
0.33039215	0.17033334	0.0
0.30759802	0.18713726	0.05
0.28799018	0.20458333	0.1
0.27058825	0.22238235	0.15
0.25637254	0.24052942	0.2
0.24068627	0.25887254	0.25
0.22990195	0.27835783	0.3
0.22156863	0.2979853	0.35000002
0.20833333	0.3175098	0.40000004
0.19558823	0.33660784	0.45000005
0.1870098	0.35555393	0.50000006
0.17916666	0.37494117	0.5500001
0.17034313	0.39335296	0.6000001
0.1622549	0.4107255	0.6500001
0.15539216	0.42819607	0.7000001
0.1495098	0.44476962	0.7500001
0.14264706	0.46167156	0.80000013
0.13725491	0.4780098	0.85000014
0.13235295	0.49466178	0.90000015
0.125	0.5108137	0.95000017
0.11911765	0.5266029	1.0000001
0.11495098	0.5421569	1.0500001
0.11004902	0.5575098	1.1
0.106862746	0.572451	1.15
0.10392157	0.58639705	1.1999999
0.1	0.60001963	1.2499999
0.09509804	0.6132108	1.2999998
0.09264706	0.62662256	1.3499998
0.087254904	0.63903433	1.3999997
0.08382353	0.6512451	1.4499997
0.08014706	0.6629755	1.4999996
0.07573529	0.67417157	1.5499996
0.07303922	0.6852745	1.5999995
0.07034314	0.6956618	1.6499995
0.06789216	0.7060392	1.6999995
0.064460784	0.7155392	1.7499994
0.060784314	0.72510296	1.7999994
0.06004902	0.7337255	1.8499993
0.059068628	0.74271077	1.8999993
0.05612745	0.7506226	1.9499992
0.05392157	0.7584706	1.9999992
0.051960785	0.76604414	2.0499992
0.048529413	0.7731128	2.0999992
0.047303922	0.7798088	2.1499991
0.044607844	0.78617644	2.199999
0.043382354	0.7921324	2.249999
0.04264706	0.79767156	2.299999
0.041666668	0.80306375	2.349999
0.03995098	0.80808336	2.399999
0.037254903	0.8129902	2.4499989
0.03627451	0.8176814	2.4999988
0.035539217	0.8220245	2.5499988
0.034558825	0.82624507	2.5999987
0.033578433	0.83006865	2.6499987
0.032352943	0.8337304	2.6999986
0.031127451	0.8374216	2.7499986
0.030147059	0.8404363	2.7999985
0.029411765	0.8437206	2.8499985
0.02745098	0.8468922	2.8999984
0.026470589	0.8497549	2.9499984
0.025980392	0.8526618	2.9999983
