FRR	FAR	%Aciertos	DistribEstandar
0.0029411765	0.87236273	50.0	1.5
7.3529413E-4	0.9362402	50.0	2.0
4.901961E-4	0.9609216	50.0	2.5
0.0	0.97614706	50.0	3.0
0.007107843	0.76858824	60.0	1.5
0.0022058825	0.8890245	60.0	2.0
0.0012254902	0.93490195	60.0	2.5
4.901961E-4	0.9574314	60.0	3.0
0.024509804	0.59882843	70.0	1.5
0.008578432	0.7948039	70.0	2.0
0.0036764706	0.8784804	70.0	2.5
0.0022058825	0.9234608	70.0	3.0
0.07254902	0.37114215	80.0	1.5
0.02867647	0.61809313	80.0	2.0
0.016176471	0.7597941	80.0	2.5
0.00882353	0.8369216	80.0	3.0
0.2245098	0.13050981	90.0	1.5
0.10612745	0.33984312	90.0	2.0
0.06102941	0.5235147	90.0	2.5
0.040441178	0.64110297	90.0	3.0
