FRR	FAR	%Aciertos	DistribEstandar
0.0029411765	0.8598971	50.0	1.5
7.3529413E-4	0.93518627	50.0	2.0
2.4509805E-4	0.96219605	50.0	2.5
0.0	0.97739214	50.0	3.0
0.007107843	0.7452353	60.0	1.5
0.0022058825	0.87708825	60.0	2.0
9.803922E-4	0.93165684	60.0	2.5
4.901961E-4	0.9584216	60.0	3.0
0.023039216	0.56769115	70.0	1.5
0.006862745	0.7683137	70.0	2.0
0.0026960785	0.86425	70.0	2.5
9.803922E-4	0.9147451	70.0	3.0
0.07230392	0.33707842	80.0	1.5
0.028186275	0.5812255	80.0	2.0
0.0154411765	0.7299167	80.0	2.5
0.008333334	0.8150392	80.0	3.0
0.22843137	0.108441174	90.0	1.5
0.104411766	0.30606863	90.0	2.0
0.059558824	0.4919951	90.0	2.5
0.03872549	0.6165147	90.0	3.0
