FRR	FAR	%Aciertos	DistribEstandar
0.0022058825	0.8287157	50.0	1.5
4.901961E-4	0.9224412	50.0	2.0
2.4509805E-4	0.96183825	50.0	2.5
0.0	0.97931373	50.0	3.0
0.006127451	0.6895196	60.0	1.5
0.0012254902	0.84688234	60.0	2.0
4.901961E-4	0.915049	60.0	2.5
2.4509805E-4	0.95108825	60.0	3.0
0.02254902	0.49316666	70.0	1.5
0.005392157	0.71586764	70.0	2.0
0.0022058825	0.8310588	70.0	2.5
9.803922E-4	0.8914804	70.0	3.0
0.07156863	0.26863235	80.0	1.5
0.024754902	0.52161276	80.0	2.0
0.009803922	0.6847745	80.0	2.5
0.005392157	0.7812549	80.0	3.0
0.2512255	0.0807451	90.0	1.5
0.104411766	0.2555294	90.0	2.0
0.059068628	0.4447206	90.0	2.5
0.03627451	0.58117646	90.0	3.0
