FRR	FAR	%Aciertos	DistribEstandar
0.0014705883	0.74494606	50.0	1.5
7.3529413E-4	0.87764215	50.0	2.0
2.4509805E-4	0.9325245	50.0	2.5
0.0	0.9627745	50.0	3.0
0.006127451	0.58208334	60.0	1.5
0.0012254902	0.779201	60.0	2.0
4.901961E-4	0.86908823	60.0	2.5
0.0	0.9172647	60.0	3.0
0.026715687	0.39245588	70.0	1.5
0.004411765	0.6392598	70.0	2.0
0.0012254902	0.7749412	70.0	2.5
4.901961E-4	0.847201	70.0	3.0
0.08284314	0.20197059	80.0	1.5
0.019362746	0.44629902	80.0	2.0
0.005147059	0.63182354	80.0	2.5
0.0026960785	0.7429412	80.0	3.0
0.28063726	0.061779413	90.0	1.5
0.09313726	0.21410784	90.0	2.0
0.041666668	0.40418628	90.0	2.5
0.020833334	0.55715686	90.0	3.0
