FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9011422	50.0	1.5
0.0017156863	0.9395294	50.0	2.0
9.803922E-4	0.95957845	50.0	2.5
4.901961E-4	0.9723284	50.0	3.0
0.008578432	0.83838236	60.0	1.5
0.0034313726	0.9104902	60.0	2.0
0.0019607844	0.9384657	60.0	2.5
9.803922E-4	0.9560049	60.0	3.0
0.022303922	0.7294363	70.0	1.5
0.01127451	0.86118627	70.0	2.0
0.004901961	0.90591174	70.0	2.5
0.0031862746	0.93145096	70.0	3.0
0.059313726	0.5638088	80.0	1.5
0.029656863	0.7561716	80.0	2.0
0.016911766	0.8451471	80.0	2.5
0.01004902	0.8865392	80.0	3.0
0.14754902	0.34506372	90.0	1.5
0.08897059	0.5707108	90.0	2.0
0.058333334	0.7091961	90.0	2.5
0.039460786	0.7874216	90.0	3.0
