FRR	FAR	%Aciertos	DistribEstandar
0.0031862746	0.9051667	50.0	1.5
0.0014705883	0.94476473	50.0	2.0
9.803922E-4	0.96272546	50.0	2.5
7.3529413E-4	0.9736863	50.0	3.0
0.007598039	0.84084314	60.0	1.5
0.0029411765	0.91687745	60.0	2.0
0.0019607844	0.9435588	60.0	2.5
9.803922E-4	0.95936275	60.0	3.0
0.018382354	0.74207354	70.0	1.5
0.009558824	0.86760294	70.0	2.0
0.003921569	0.9143627	70.0	2.5
0.0026960785	0.93815196	70.0	3.0
0.05	0.60711765	80.0	1.5
0.025735294	0.76831865	80.0	2.0
0.015686275	0.85466176	80.0	2.5
0.009068628	0.8977108	80.0	3.0
0.12671569	0.42364705	90.0	1.5
0.0754902	0.61269605	90.0	2.0
0.049509805	0.7328186	90.0	2.5
0.034313727	0.80636764	90.0	3.0
