FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9015049	50.0	1.5
0.0017156863	0.9402794	50.0	2.0
9.803922E-4	0.9604167	50.0	2.5
4.901961E-4	0.97325	50.0	3.0
0.008578432	0.8444608	60.0	1.5
0.0034313726	0.91141665	60.0	2.0
0.0019607844	0.9392108	60.0	2.5
9.803922E-4	0.95695096	60.0	3.0
0.022058824	0.74111277	70.0	1.5
0.009558824	0.8648088	70.0	2.0
0.004656863	0.90767646	70.0	2.5
0.0031862746	0.932902	70.0	3.0
0.058088236	0.58082354	80.0	1.5
0.029166667	0.76956373	80.0	2.0
0.01642157	0.8512206	80.0	2.5
0.01004902	0.8900539	80.0	3.0
0.14583333	0.3641863	90.0	1.5
0.087990195	0.5927696	90.0	2.0
0.05735294	0.7267647	90.0	2.5
0.03872549	0.79932356	90.0	3.0
