FRR	FAR	%Aciertos	DistribEstandar
0.0034313726	0.9070245	50.0	1.5
0.0014705883	0.94264704	50.0	2.0
9.803922E-4	0.9617157	50.0	2.5
4.901961E-4	0.97386277	50.0	3.0
0.00882353	0.85139215	60.0	1.5
0.0031862746	0.9152892	60.0	2.0
0.0019607844	0.9414363	60.0	2.5
9.803922E-4	0.95834315	60.0	3.0
0.020833334	0.75217646	70.0	1.5
0.009313726	0.87072057	70.0	2.0
0.004411765	0.91154903	70.0	2.5
0.0029411765	0.9353088	70.0	3.0
0.054411765	0.602799	80.0	1.5
0.027696079	0.77756864	80.0	2.0
0.016176471	0.8565098	80.0	2.5
0.009803922	0.8945	80.0	3.0
0.14019608	0.39994606	90.0	1.5
0.085784316	0.61115193	90.0	2.0
0.055637255	0.7379853	90.0	2.5
0.0375	0.80707353	90.0	3.0
