FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9999853	1.0
0.0	0.99990684	2.0
0.0	0.99990684	3.0
0.0	0.9997745	4.0
0.0	0.9997745	5.0
0.0	0.9995049	6.0
0.0	0.9995049	7.0
0.0	0.9991863	8.0
0.0	0.9991863	9.0
0.0	0.99864703	10.0
0.0	0.99864703	11.0
0.0	0.99793136	12.0
0.0	0.99793136	13.0
0.0	0.99687743	14.0
0.0	0.99687743	15.0
0.0	0.9954216	16.0
0.0	0.9954216	17.0
0.0	0.99390686	18.0
0.0	0.99390686	19.0
0.0	0.992201	20.0
0.0	0.992201	21.0
0.0	0.9902745	22.0
0.0	0.9902745	23.0
0.0	0.9877941	24.0
0.0	0.9877941	25.0
0.0	0.98536277	26.0
0.0	0.98536277	27.0
0.0	0.9825539	28.0
0.0	0.9825539	29.0
0.0	0.97963727	30.0
0.0	0.97963727	31.0
0.0	0.9766912	32.0
0.0	0.9766912	33.0
0.0	0.9732843	34.0
0.0	0.9732843	35.0
2.4509805E-4	0.9697304	36.0
2.4509805E-4	0.9697304	37.0
2.4509805E-4	0.9658039	38.0
2.4509805E-4	0.9658039	39.0
2.4509805E-4	0.9617304	40.0
2.4509805E-4	0.9617304	41.0
4.901961E-4	0.95734805	42.0
4.901961E-4	0.95734805	43.0
4.901961E-4	0.952848	44.0
4.901961E-4	0.952848	45.0
7.3529413E-4	0.94775	46.0
7.3529413E-4	0.94775	47.0
7.3529413E-4	0.9422304	48.0
7.3529413E-4	0.9422304	49.0
7.3529413E-4	0.9362402	50.0
9.803922E-4	0.92957354	51.0
9.803922E-4	0.92957354	52.0
0.0017156863	0.9222696	53.0
0.0017156863	0.9222696	54.0
0.0017156863	0.9132696	55.0
0.0017156863	0.9132696	56.0
0.0022058825	0.9019804	57.0
0.0022058825	0.9019804	58.0
0.0022058825	0.8890245	59.0
0.0022058825	0.8890245	60.0
0.0031862746	0.87482846	61.0
0.0031862746	0.87482846	62.0
0.0034313726	0.85888237	63.0
0.0034313726	0.85888237	64.0
0.004166667	0.84059805	65.0
0.004166667	0.84059805	66.0
0.006617647	0.8193284	67.0
0.006617647	0.8193284	68.0
0.008578432	0.7948039	69.0
0.008578432	0.7948039	70.0
0.010539216	0.7663677	71.0
0.010539216	0.7663677	72.0
0.013970588	0.73422056	73.0
0.013970588	0.73422056	74.0
0.02009804	0.69861764	75.0
0.02009804	0.69861764	76.0
0.025980392	0.66010785	77.0
0.025980392	0.66010785	78.0
0.02867647	0.61809313	79.0
0.02867647	0.61809313	80.0
0.037254903	0.57036275	81.0
0.037254903	0.57036275	82.0
0.051715687	0.51841664	83.0
0.051715687	0.51841664	84.0
0.0752451	0.4639951	85.0
0.0752451	0.4639951	86.0
0.0882353	0.40481374	87.0
0.0882353	0.40481374	88.0
0.10612745	0.33984312	89.0
0.10612745	0.33984312	90.0
0.16078432	0.27030393	91.0
0.16078432	0.27030393	92.0
0.2629902	0.20303431	93.0
0.2629902	0.20303431	94.0
0.2872549	0.14106862	95.0
0.2872549	0.14106862	96.0
0.34289217	0.081	97.0
0.34289217	0.081	98.0
0.5112745	0.029887255	99.0
0.5112745	0.029887255	100.0
