FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99990684	1.0
0.0	0.99990684	2.0
0.0	0.99990684	3.0
0.0	0.9997108	4.0
0.0	0.9997108	5.0
0.0	0.9997108	6.0
0.0	0.99919605	7.0
0.0	0.99919605	8.0
0.0	0.99919605	9.0
0.0	0.99837255	10.0
0.0	0.99837255	11.0
0.0	0.99837255	12.0
0.0	0.9969314	13.0
0.0	0.9969314	14.0
0.0	0.9969314	15.0
0.0	0.9969314	16.0
0.0	0.99505883	17.0
0.0	0.99505883	18.0
0.0	0.99505883	19.0
0.0	0.99247056	20.0
0.0	0.99247056	21.0
0.0	0.99247056	22.0
0.0	0.98917156	23.0
0.0	0.98917156	24.0
0.0	0.98917156	25.0
0.0	0.9852059	26.0
0.0	0.9852059	27.0
0.0	0.9852059	28.0
0.0	0.9852059	29.0
0.0	0.98040193	30.0
0.0	0.98040193	31.0
0.0	0.98040193	32.0
0.0	0.9751863	33.0
0.0	0.9751863	34.0
0.0	0.9751863	35.0
0.0	0.9695441	36.0
0.0	0.9695441	37.0
0.0	0.9695441	38.0
2.4509805E-4	0.96246076	39.0
2.4509805E-4	0.96246076	40.0
2.4509805E-4	0.96246076	41.0
2.4509805E-4	0.95310783	42.0
2.4509805E-4	0.95310783	43.0
2.4509805E-4	0.95310783	44.0
2.4509805E-4	0.95310783	45.0
2.4509805E-4	0.93903923	46.0
2.4509805E-4	0.93903923	47.0
2.4509805E-4	0.93903923	48.0
4.901961E-4	0.9225147	49.0
4.901961E-4	0.9225147	50.0
4.901961E-4	0.9225147	51.0
7.3529413E-4	0.9026471	52.0
7.3529413E-4	0.9026471	53.0
7.3529413E-4	0.9026471	54.0
9.803922E-4	0.87929904	55.0
9.803922E-4	0.87929904	56.0
9.803922E-4	0.87929904	57.0
9.803922E-4	0.87929904	58.0
0.0017156863	0.85004413	59.0
0.0017156863	0.85004413	60.0
0.0017156863	0.85004413	61.0
0.0026960785	0.81461763	62.0
0.0026960785	0.81461763	63.0
0.0026960785	0.81461763	64.0
0.0029411765	0.77108335	65.0
0.0029411765	0.77108335	66.0
0.0029411765	0.77108335	67.0
0.005392157	0.7218922	68.0
0.005392157	0.7218922	69.0
0.005392157	0.7218922	70.0
0.00882353	0.6643922	71.0
0.00882353	0.6643922	72.0
0.00882353	0.6643922	73.0
0.00882353	0.6643922	74.0
0.01495098	0.6012892	75.0
0.01495098	0.6012892	76.0
0.01495098	0.6012892	77.0
0.024019608	0.5300343	78.0
0.024019608	0.5300343	79.0
0.024019608	0.5300343	80.0
0.038235296	0.44970587	81.0
0.038235296	0.44970587	82.0
0.038235296	0.44970587	83.0
0.0627451	0.3595294	84.0
0.0627451	0.3595294	85.0
0.0627451	0.3595294	86.0
0.0627451	0.3595294	87.0
0.10465686	0.26436275	88.0
0.10465686	0.26436275	89.0
0.10465686	0.26436275	90.0
0.1747549	0.1719853	91.0
0.1747549	0.1719853	92.0
0.1747549	0.1719853	93.0
0.32818627	0.09002941	94.0
0.32818627	0.09002941	95.0
0.32818627	0.09002941	96.0
0.50710785	0.032230392	97.0
0.50710785	0.032230392	98.0
0.50710785	0.032230392	99.0
0.50710785	0.032230392	100.0
