FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9999706	1.0
0.0	0.9999706	2.0
0.0	0.9998922	3.0
0.0	0.9998922	4.0
0.0	0.9997451	5.0
0.0	0.9997451	6.0
0.0	0.9997451	7.0
0.0	0.99934316	8.0
0.0	0.99934316	9.0
0.0	0.99886763	10.0
0.0	0.99886763	11.0
0.0	0.99886763	12.0
0.0	0.99810296	13.0
0.0	0.99810296	14.0
0.0	0.99680394	15.0
0.0	0.99680394	16.0
0.0	0.99680394	17.0
0.0	0.99508333	18.0
0.0	0.99508333	19.0
0.0	0.9929902	20.0
0.0	0.9929902	21.0
0.0	0.9904902	22.0
0.0	0.9904902	23.0
0.0	0.9904902	24.0
0.0	0.98740685	25.0
0.0	0.98740685	26.0
0.0	0.9840735	27.0
0.0	0.9840735	28.0
0.0	0.9840735	29.0
0.0	0.9803137	30.0
0.0	0.9803137	31.0
0.0	0.976201	32.0
0.0	0.976201	33.0
0.0	0.976201	34.0
0.0	0.971799	35.0
0.0	0.971799	36.0
2.4509805E-4	0.9669118	37.0
2.4509805E-4	0.9669118	38.0
2.4509805E-4	0.9669118	39.0
2.4509805E-4	0.96139216	40.0
2.4509805E-4	0.96139216	41.0
2.4509805E-4	0.9556569	42.0
2.4509805E-4	0.9556569	43.0
4.901961E-4	0.94941175	44.0
4.901961E-4	0.94941175	45.0
4.901961E-4	0.94941175	46.0
4.901961E-4	0.94225	47.0
4.901961E-4	0.94225	48.0
7.3529413E-4	0.93407845	49.0
7.3529413E-4	0.93407845	50.0
7.3529413E-4	0.93407845	51.0
9.803922E-4	0.9241912	52.0
9.803922E-4	0.9241912	53.0
0.0014705883	0.91239214	54.0
0.0014705883	0.91239214	55.0
0.0014705883	0.91239214	56.0
0.0017156863	0.89787745	57.0
0.0017156863	0.89787745	58.0
0.0022058825	0.8810539	59.0
0.0022058825	0.8810539	60.0
0.0026960785	0.8615147	61.0
0.0026960785	0.8615147	62.0
0.0026960785	0.8615147	63.0
0.0036764706	0.83862746	64.0
0.0036764706	0.83862746	65.0
0.004411765	0.8112843	66.0
0.004411765	0.8112843	67.0
0.004411765	0.8112843	68.0
0.007352941	0.7782451	69.0
0.007352941	0.7782451	70.0
0.010539216	0.7395098	71.0
0.010539216	0.7395098	72.0
0.010539216	0.7395098	73.0
0.01372549	0.69514215	74.0
0.01372549	0.69514215	75.0
0.02132353	0.6439559	76.0
0.02132353	0.6439559	77.0
0.02132353	0.6439559	78.0
0.028431373	0.5874706	79.0
0.028431373	0.5874706	80.0
0.038235296	0.5256128	81.0
0.038235296	0.5256128	82.0
0.05514706	0.4582745	83.0
0.05514706	0.4582745	84.0
0.05514706	0.4582745	85.0
0.085539214	0.3858039	86.0
0.085539214	0.3858039	87.0
0.10392157	0.30801472	88.0
0.10392157	0.30801472	89.0
0.10392157	0.30801472	90.0
0.16421568	0.2275	91.0
0.16421568	0.2275	92.0
0.27965686	0.1499902	93.0
0.27965686	0.1499902	94.0
0.27965686	0.1499902	95.0
0.3375	0.0852598	96.0
0.3375	0.0852598	97.0
0.50980395	0.030941177	98.0
0.50980395	0.030941177	99.0
0.50980395	0.030941177	100.0
