FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99992645	1.0
0.0	0.99992645	2.0
0.0	0.99992645	3.0
0.0	0.99992645	4.0
0.0	0.9994461	5.0
0.0	0.9994461	6.0
0.0	0.9994461	7.0
0.0	0.9994461	8.0
0.0	0.9994461	9.0
0.0	0.99813724	10.0
0.0	0.99813724	11.0
0.0	0.99813724	12.0
0.0	0.99813724	13.0
0.0	0.99813724	14.0
0.0	0.9954755	15.0
0.0	0.9954755	16.0
0.0	0.9954755	17.0
0.0	0.9954755	18.0
0.0	0.9954755	19.0
0.0	0.9913088	20.0
0.0	0.9913088	21.0
0.0	0.9913088	22.0
0.0	0.9913088	23.0
0.0	0.9853137	24.0
0.0	0.9853137	25.0
0.0	0.9853137	26.0
0.0	0.9853137	27.0
0.0	0.9853137	28.0
0.0	0.97619605	29.0
0.0	0.97619605	30.0
0.0	0.97619605	31.0
0.0	0.97619605	32.0
0.0	0.97619605	33.0
0.0	0.96355885	34.0
0.0	0.96355885	35.0
0.0	0.96355885	36.0
0.0	0.96355885	37.0
0.0	0.96355885	38.0
0.0	0.9430343	39.0
0.0	0.9430343	40.0
0.0	0.9430343	41.0
0.0	0.9430343	42.0
4.901961E-4	0.9132843	43.0
4.901961E-4	0.9132843	44.0
4.901961E-4	0.9132843	45.0
4.901961E-4	0.9132843	46.0
4.901961E-4	0.9132843	47.0
7.3529413E-4	0.87764215	48.0
7.3529413E-4	0.87764215	49.0
7.3529413E-4	0.87764215	50.0
7.3529413E-4	0.87764215	51.0
7.3529413E-4	0.87764215	52.0
7.3529413E-4	0.83386767	53.0
7.3529413E-4	0.83386767	54.0
7.3529413E-4	0.83386767	55.0
7.3529413E-4	0.83386767	56.0
7.3529413E-4	0.83386767	57.0
0.0012254902	0.779201	58.0
0.0012254902	0.779201	59.0
0.0012254902	0.779201	60.0
0.0012254902	0.779201	61.0
0.0024509805	0.71375	62.0
0.0024509805	0.71375	63.0
0.0024509805	0.71375	64.0
0.0024509805	0.71375	65.0
0.0024509805	0.71375	66.0
0.004411765	0.6392598	67.0
0.004411765	0.6392598	68.0
0.004411765	0.6392598	69.0
0.004411765	0.6392598	70.0
0.004411765	0.6392598	71.0
0.007843138	0.5502549	72.0
0.007843138	0.5502549	73.0
0.007843138	0.5502549	74.0
0.007843138	0.5502549	75.0
0.007843138	0.5502549	76.0
0.019362746	0.44629902	77.0
0.019362746	0.44629902	78.0
0.019362746	0.44629902	79.0
0.019362746	0.44629902	80.0
0.044852942	0.3312304	81.0
0.044852942	0.3312304	82.0
0.044852942	0.3312304	83.0
0.044852942	0.3312304	84.0
0.044852942	0.3312304	85.0
0.09313726	0.21410784	86.0
0.09313726	0.21410784	87.0
0.09313726	0.21410784	88.0
0.09313726	0.21410784	89.0
0.09313726	0.21410784	90.0
0.22058824	0.11007353	91.0
0.22058824	0.11007353	92.0
0.22058824	0.11007353	93.0
0.22058824	0.11007353	94.0
0.22058824	0.11007353	95.0
0.4997549	0.034946077	96.0
0.4997549	0.034946077	97.0
0.4997549	0.034946077	98.0
0.4997549	0.034946077	99.0
0.4997549	0.034946077	100.0
