FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9720147	1.0
0.0	0.9720147	2.0
0.0	0.9720147	3.0
0.0	0.9720147	4.0
0.0	0.9720147	5.0
0.0	0.9720147	6.0
0.0	0.9720147	7.0
0.0	0.9720147	8.0
0.0	0.9720147	9.0
0.0	0.9407059	10.0
0.0	0.9407059	11.0
0.0	0.9407059	12.0
0.0	0.9407059	13.0
0.0	0.9407059	14.0
0.0	0.9407059	15.0
0.0	0.9407059	16.0
0.0	0.9407059	17.0
0.0	0.9407059	18.0
0.0	0.8988627	19.0
0.0	0.8988627	20.0
0.0	0.8988627	21.0
0.0	0.8988627	22.0
0.0	0.8988627	23.0
0.0	0.8988627	24.0
0.0	0.8988627	25.0
0.0	0.8988627	26.0
0.0	0.8988627	27.0
2.4509805E-4	0.84847057	28.0
2.4509805E-4	0.84847057	29.0
2.4509805E-4	0.84847057	30.0
2.4509805E-4	0.84847057	31.0
2.4509805E-4	0.84847057	32.0
2.4509805E-4	0.84847057	33.0
2.4509805E-4	0.84847057	34.0
2.4509805E-4	0.84847057	35.0
2.4509805E-4	0.84847057	36.0
4.901961E-4	0.78546566	37.0
4.901961E-4	0.78546566	38.0
4.901961E-4	0.78546566	39.0
4.901961E-4	0.78546566	40.0
4.901961E-4	0.78546566	41.0
4.901961E-4	0.78546566	42.0
4.901961E-4	0.78546566	43.0
4.901961E-4	0.78546566	44.0
4.901961E-4	0.78546566	45.0
9.803922E-4	0.7058333	46.0
9.803922E-4	0.7058333	47.0
9.803922E-4	0.7058333	48.0
9.803922E-4	0.7058333	49.0
9.803922E-4	0.7058333	50.0
9.803922E-4	0.7058333	51.0
9.803922E-4	0.7058333	52.0
9.803922E-4	0.7058333	53.0
9.803922E-4	0.7058333	54.0
0.0026960785	0.6042549	55.0
0.0026960785	0.6042549	56.0
0.0026960785	0.6042549	57.0
0.0026960785	0.6042549	58.0
0.0026960785	0.6042549	59.0
0.0026960785	0.6042549	60.0
0.0026960785	0.6042549	61.0
0.0026960785	0.6042549	62.0
0.0026960785	0.6042549	63.0
0.007352941	0.47715196	64.0
0.007352941	0.47715196	65.0
0.007352941	0.47715196	66.0
0.007352941	0.47715196	67.0
0.007352941	0.47715196	68.0
0.007352941	0.47715196	69.0
0.007352941	0.47715196	70.0
0.007352941	0.47715196	71.0
0.007352941	0.47715196	72.0
0.028921569	0.32946077	73.0
0.028921569	0.32946077	74.0
0.028921569	0.32946077	75.0
0.028921569	0.32946077	76.0
0.028921569	0.32946077	77.0
0.028921569	0.32946077	78.0
0.028921569	0.32946077	79.0
0.028921569	0.32946077	80.0
0.028921569	0.32946077	81.0
0.10220588	0.18137255	82.0
0.10220588	0.18137255	83.0
0.10220588	0.18137255	84.0
0.10220588	0.18137255	85.0
0.10220588	0.18137255	86.0
0.10220588	0.18137255	87.0
0.10220588	0.18137255	88.0
0.10220588	0.18137255	89.0
0.10220588	0.18137255	90.0
0.3627451	0.06175	91.0
0.3627451	0.06175	92.0
0.3627451	0.06175	93.0
0.3627451	0.06175	94.0
0.3627451	0.06175	95.0
0.3627451	0.06175	96.0
0.3627451	0.06175	97.0
0.3627451	0.06175	98.0
0.3627451	0.06175	99.0
0.3627451	0.06175	100.0
