FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.9987696	1.0
0.0	0.9987696	2.0
0.0	0.99825	3.0
0.0	0.99825	4.0
0.0	0.99825	5.0
0.0	0.9974167	6.0
0.0	0.9974167	7.0
0.0	0.99663234	8.0
0.0	0.99663234	9.0
0.0	0.99663234	10.0
0.0	0.9942108	11.0
0.0	0.9942108	12.0
0.0	0.99271566	13.0
0.0	0.99271566	14.0
0.0	0.99271566	15.0
0.0	0.991	16.0
0.0	0.991	17.0
0.0	0.98932844	18.0
0.0	0.98932844	19.0
0.0	0.98932844	20.0
0.0	0.9854559	21.0
0.0	0.9854559	22.0
0.0	0.9829706	23.0
0.0	0.9829706	24.0
0.0	0.9829706	25.0
0.0	0.9803823	26.0
0.0	0.9803823	27.0
0.0	0.9774657	28.0
0.0	0.9774657	29.0
0.0	0.9774657	30.0
4.901961E-4	0.9726912	31.0
4.901961E-4	0.9726912	32.0
7.3529413E-4	0.9694657	33.0
7.3529413E-4	0.9694657	34.0
7.3529413E-4	0.9694657	35.0
7.3529413E-4	0.9655294	36.0
7.3529413E-4	0.9655294	37.0
7.3529413E-4	0.96137255	38.0
7.3529413E-4	0.96137255	39.0
7.3529413E-4	0.96137255	40.0
9.803922E-4	0.95480883	41.0
9.803922E-4	0.95480883	42.0
9.803922E-4	0.95013237	43.0
9.803922E-4	0.95013237	44.0
9.803922E-4	0.95013237	45.0
0.0014705883	0.9448039	46.0
0.0014705883	0.9448039	47.0
0.0017156863	0.9395294	48.0
0.0017156863	0.9395294	49.0
0.0017156863	0.9395294	50.0
0.0026960785	0.93105394	51.0
0.0026960785	0.93105394	52.0
0.0029411765	0.9250294	53.0
0.0029411765	0.9250294	54.0
0.0029411765	0.9250294	55.0
0.0031862746	0.9180392	56.0
0.0031862746	0.9180392	57.0
0.0034313726	0.9104902	58.0
0.0034313726	0.9104902	59.0
0.0034313726	0.9104902	60.0
0.006617647	0.89709806	61.0
0.006617647	0.89709806	62.0
0.007352941	0.88717157	63.0
0.007352941	0.88717157	64.0
0.007352941	0.88717157	65.0
0.008578432	0.8746912	66.0
0.008578432	0.8746912	67.0
0.01127451	0.86118627	68.0
0.01127451	0.86118627	69.0
0.01127451	0.86118627	70.0
0.022794118	0.832049	71.0
0.022794118	0.832049	72.0
0.023529412	0.81094116	73.0
0.023529412	0.81094116	74.0
0.023529412	0.81094116	75.0
0.02622549	0.7846078	76.0
0.02622549	0.7846078	77.0
0.029656863	0.7561716	78.0
0.029656863	0.7561716	79.0
0.029656863	0.7561716	80.0
0.06642157	0.6947549	81.0
0.06642157	0.6947549	82.0
0.07156863	0.6600735	83.0
0.07156863	0.6600735	84.0
0.07156863	0.6600735	85.0
0.08186275	0.6161765	86.0
0.08186275	0.6161765	87.0
0.08897059	0.5707108	88.0
0.08897059	0.5707108	89.0
0.08897059	0.5707108	90.0
0.2517157	0.44816175	91.0
0.2517157	0.44816175	92.0
0.26102942	0.3999902	93.0
0.26102942	0.3999902	94.0
0.26102942	0.3999902	95.0
0.28088236	0.33364707	96.0
0.28088236	0.33364707	97.0
0.297549	0.2669951	98.0
0.297549	0.2669951	99.0
0.297549	0.2669951	100.0
