FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.998652	1.0
0.0	0.998652	2.0
0.0	0.998652	3.0
0.0	0.9977059	4.0
0.0	0.9977059	5.0
0.0	0.9977059	6.0
0.0	0.99667645	7.0
0.0	0.99667645	8.0
0.0	0.99667645	9.0
0.0	0.99667645	10.0
0.0	0.9938775	11.0
0.0	0.9938775	12.0
0.0	0.9938775	13.0
0.0	0.99155885	14.0
0.0	0.99155885	15.0
0.0	0.99155885	16.0
0.0	0.98939216	17.0
0.0	0.98939216	18.0
0.0	0.98939216	19.0
0.0	0.98939216	20.0
0.0	0.98495096	21.0
0.0	0.98495096	22.0
0.0	0.98495096	23.0
0.0	0.9812843	24.0
0.0	0.9812843	25.0
0.0	0.9812843	26.0
0.0	0.9775931	27.0
0.0	0.9775931	28.0
0.0	0.9775931	29.0
0.0	0.9775931	30.0
4.901961E-4	0.971799	31.0
4.901961E-4	0.971799	32.0
4.901961E-4	0.971799	33.0
7.3529413E-4	0.96715194	34.0
7.3529413E-4	0.96715194	35.0
7.3529413E-4	0.96715194	36.0
7.3529413E-4	0.9617108	37.0
7.3529413E-4	0.9617108	38.0
7.3529413E-4	0.9617108	39.0
7.3529413E-4	0.9617108	40.0
9.803922E-4	0.95368135	41.0
9.803922E-4	0.95368135	42.0
9.803922E-4	0.95368135	43.0
0.0014705883	0.9469804	44.0
0.0014705883	0.9469804	45.0
0.0014705883	0.9469804	46.0
0.0019607844	0.9400147	47.0
0.0019607844	0.9400147	48.0
0.0019607844	0.9400147	49.0
0.0019607844	0.9400147	50.0
0.0026960785	0.9297108	51.0
0.0026960785	0.9297108	52.0
0.0026960785	0.9297108	53.0
0.0029411765	0.9212157	54.0
0.0029411765	0.9212157	55.0
0.0029411765	0.9212157	56.0
0.0034313726	0.91130394	57.0
0.0034313726	0.91130394	58.0
0.0034313726	0.91130394	59.0
0.0034313726	0.91130394	60.0
0.006862745	0.89528924	61.0
0.006862745	0.89528924	62.0
0.006862745	0.89528924	63.0
0.007843138	0.8807745	64.0
0.007843138	0.8807745	65.0
0.007843138	0.8807745	66.0
0.01127451	0.86296076	67.0
0.01127451	0.86296076	68.0
0.01127451	0.86296076	69.0
0.01127451	0.86296076	70.0
0.022794118	0.82864213	71.0
0.022794118	0.82864213	72.0
0.022794118	0.82864213	73.0
0.024754902	0.79814214	74.0
0.024754902	0.79814214	75.0
0.024754902	0.79814214	76.0
0.028921569	0.76006866	77.0
0.028921569	0.76006866	78.0
0.028921569	0.76006866	79.0
0.028921569	0.76006866	80.0
0.06642157	0.6900294	81.0
0.06642157	0.6900294	82.0
0.06642157	0.6900294	83.0
0.075980395	0.6404951	84.0
0.075980395	0.6404951	85.0
0.075980395	0.6404951	86.0
0.08627451	0.5792353	87.0
0.08627451	0.5792353	88.0
0.08627451	0.5792353	89.0
0.08627451	0.5792353	90.0
0.25343138	0.4437549	91.0
0.25343138	0.4437549	92.0
0.25343138	0.4437549	93.0
0.27058825	0.37451962	94.0
0.27058825	0.37451962	95.0
0.27058825	0.37451962	96.0
0.29289216	0.27787745	97.0
0.29289216	0.27787745	98.0
0.29289216	0.27787745	99.0
0.29289216	0.27787745	100.0
