FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99680394	1.0
0.0	0.99680394	2.0
0.0	0.99680394	3.0
0.0	0.99680394	4.0
0.0	0.99680394	5.0
0.0	0.99680394	6.0
0.0	0.99680394	7.0
0.0	0.99680394	8.0
0.0	0.99680394	9.0
0.0	0.99680394	10.0
0.0	0.98932844	11.0
0.0	0.98932844	12.0
0.0	0.98932844	13.0
0.0	0.98932844	14.0
0.0	0.98932844	15.0
0.0	0.98932844	16.0
0.0	0.98932844	17.0
0.0	0.98932844	18.0
0.0	0.98932844	19.0
0.0	0.98932844	20.0
0.0	0.97860783	21.0
0.0	0.97860783	22.0
0.0	0.97860783	23.0
0.0	0.97860783	24.0
0.0	0.97860783	25.0
0.0	0.97860783	26.0
0.0	0.97860783	27.0
0.0	0.97860783	28.0
0.0	0.97860783	29.0
0.0	0.97860783	30.0
7.3529413E-4	0.9643676	31.0
7.3529413E-4	0.9643676	32.0
7.3529413E-4	0.9643676	33.0
7.3529413E-4	0.9643676	34.0
7.3529413E-4	0.9643676	35.0
7.3529413E-4	0.9643676	36.0
7.3529413E-4	0.9643676	37.0
7.3529413E-4	0.9643676	38.0
7.3529413E-4	0.9643676	39.0
7.3529413E-4	0.9643676	40.0
0.0014705883	0.94476473	41.0
0.0014705883	0.94476473	42.0
0.0014705883	0.94476473	43.0
0.0014705883	0.94476473	44.0
0.0014705883	0.94476473	45.0
0.0014705883	0.94476473	46.0
0.0014705883	0.94476473	47.0
0.0014705883	0.94476473	48.0
0.0014705883	0.94476473	49.0
0.0014705883	0.94476473	50.0
0.0029411765	0.91687745	51.0
0.0029411765	0.91687745	52.0
0.0029411765	0.91687745	53.0
0.0029411765	0.91687745	54.0
0.0029411765	0.91687745	55.0
0.0029411765	0.91687745	56.0
0.0029411765	0.91687745	57.0
0.0029411765	0.91687745	58.0
0.0029411765	0.91687745	59.0
0.0029411765	0.91687745	60.0
0.009558824	0.86760294	61.0
0.009558824	0.86760294	62.0
0.009558824	0.86760294	63.0
0.009558824	0.86760294	64.0
0.009558824	0.86760294	65.0
0.009558824	0.86760294	66.0
0.009558824	0.86760294	67.0
0.009558824	0.86760294	68.0
0.009558824	0.86760294	69.0
0.009558824	0.86760294	70.0
0.025735294	0.76831865	71.0
0.025735294	0.76831865	72.0
0.025735294	0.76831865	73.0
0.025735294	0.76831865	74.0
0.025735294	0.76831865	75.0
0.025735294	0.76831865	76.0
0.025735294	0.76831865	77.0
0.025735294	0.76831865	78.0
0.025735294	0.76831865	79.0
0.025735294	0.76831865	80.0
0.0754902	0.61269605	81.0
0.0754902	0.61269605	82.0
0.0754902	0.61269605	83.0
0.0754902	0.61269605	84.0
0.0754902	0.61269605	85.0
0.0754902	0.61269605	86.0
0.0754902	0.61269605	87.0
0.0754902	0.61269605	88.0
0.0754902	0.61269605	89.0
0.0754902	0.61269605	90.0
0.27083334	0.3645	91.0
0.27083334	0.3645	92.0
0.27083334	0.3645	93.0
0.27083334	0.3645	94.0
0.27083334	0.3645	95.0
0.27083334	0.3645	96.0
0.27083334	0.3645	97.0
0.27083334	0.3645	98.0
0.27083334	0.3645	99.0
0.27083334	0.3645	100.0
