FRR	FAR	%Aciertos
0.0	1.0	0.0
0.0	0.99846077	1.0
0.0	0.99846077	2.0
0.0	0.99846077	3.0
0.0	0.99846077	4.0
0.0	0.99846077	5.0
0.0	0.9972206	6.0
0.0	0.9972206	7.0
0.0	0.9972206	8.0
0.0	0.9972206	9.0
0.0	0.9972206	10.0
0.0	0.9935441	11.0
0.0	0.9935441	12.0
0.0	0.9935441	13.0
0.0	0.9935441	14.0
0.0	0.9935441	15.0
0.0	0.9907108	16.0
0.0	0.9907108	17.0
0.0	0.9907108	18.0
0.0	0.9907108	19.0
0.0	0.9907108	20.0
0.0	0.9842892	21.0
0.0	0.9842892	22.0
0.0	0.9842892	23.0
0.0	0.9842892	24.0
0.0	0.9842892	25.0
0.0	0.97910297	26.0
0.0	0.97910297	27.0
0.0	0.97910297	28.0
0.0	0.97910297	29.0
0.0	0.97910297	30.0
4.901961E-4	0.9705882	31.0
4.901961E-4	0.9705882	32.0
4.901961E-4	0.9705882	33.0
4.901961E-4	0.9705882	34.0
4.901961E-4	0.9705882	35.0
7.3529413E-4	0.9632304	36.0
7.3529413E-4	0.9632304	37.0
7.3529413E-4	0.9632304	38.0
7.3529413E-4	0.9632304	39.0
7.3529413E-4	0.9632304	40.0
9.803922E-4	0.9511225	41.0
9.803922E-4	0.9511225	42.0
9.803922E-4	0.9511225	43.0
9.803922E-4	0.9511225	44.0
9.803922E-4	0.9511225	45.0
0.0014705883	0.9416618	46.0
0.0014705883	0.9416618	47.0
0.0014705883	0.9416618	48.0
0.0014705883	0.9416618	49.0
0.0014705883	0.9416618	50.0
0.0029411765	0.9259706	51.0
0.0029411765	0.9259706	52.0
0.0029411765	0.9259706	53.0
0.0029411765	0.9259706	54.0
0.0029411765	0.9259706	55.0
0.0034313726	0.9122696	56.0
0.0034313726	0.9122696	57.0
0.0034313726	0.9122696	58.0
0.0034313726	0.9122696	59.0
0.0034313726	0.9122696	60.0
0.007107843	0.88830394	61.0
0.007107843	0.88830394	62.0
0.007107843	0.88830394	63.0
0.007107843	0.88830394	64.0
0.007107843	0.88830394	65.0
0.009313726	0.86623037	66.0
0.009313726	0.86623037	67.0
0.009313726	0.86623037	68.0
0.009313726	0.86623037	69.0
0.009313726	0.86623037	70.0
0.02377451	0.8195539	71.0
0.02377451	0.8195539	72.0
0.02377451	0.8195539	73.0
0.02377451	0.8195539	74.0
0.02377451	0.8195539	75.0
0.02867647	0.7764755	76.0
0.02867647	0.7764755	77.0
0.02867647	0.7764755	78.0
0.02867647	0.7764755	79.0
0.02867647	0.7764755	80.0
0.07156863	0.67816174	81.0
0.07156863	0.67816174	82.0
0.07156863	0.67816174	83.0
0.07156863	0.67816174	84.0
0.07156863	0.67816174	85.0
0.085539214	0.5999265	86.0
0.085539214	0.5999265	87.0
0.085539214	0.5999265	88.0
0.085539214	0.5999265	89.0
0.085539214	0.5999265	90.0
0.26102942	0.41494116	91.0
0.26102942	0.41494116	92.0
0.26102942	0.41494116	93.0
0.26102942	0.41494116	94.0
0.26102942	0.41494116	95.0
0.2855392	0.31412745	96.0
0.2855392	0.31412745	97.0
0.2855392	0.31412745	98.0
0.2855392	0.31412745	99.0
0.2855392	0.31412745	100.0
