FRR	FAR	%Aciertos	DistribEstandar
0.0029411765	0.86439705	50.0	1.5
7.3529413E-4	0.93407845	50.0	2.0
2.4509805E-4	0.9611226	50.0	2.5
0.0	0.97718626	50.0	3.0
0.007107843	0.75235295	60.0	1.5
0.0022058825	0.8810539	60.0	2.0
7.3529413E-4	0.9321716	60.0	2.5
4.901961E-4	0.9575049	60.0	3.0
0.024019608	0.5670784	70.0	1.5
0.007352941	0.7782451	70.0	2.0
0.0031862746	0.86837256	70.0	2.5
9.803922E-4	0.91740197	70.0	3.0
0.073529415	0.33440685	80.0	1.5
0.028431373	0.5874706	80.0	2.0
0.015686275	0.7385049	80.0	2.5
0.008333334	0.81907356	80.0	3.0
0.23259804	0.10888235	90.0	1.5
0.10392157	0.30801472	90.0	2.0
0.060539216	0.4975539	90.0	2.5
0.03872549	0.6222843	90.0	3.0
