FRR	FAR	%Aciertos	DistribEstandar
0.0024509805	0.8436912	50.0	1.5
4.901961E-4	0.92689705	50.0	2.0
2.4509805E-4	0.9622353	50.0	2.5
0.0	0.97937256	50.0	3.0
0.006372549	0.70770097	60.0	1.5
0.0019607844	0.8575343	60.0	2.0
4.901961E-4	0.9198039	60.0	2.5
2.4509805E-4	0.9540147	60.0	3.0
0.02254902	0.5086667	70.0	1.5
0.005147059	0.7307745	70.0	2.0
0.0024509805	0.83906865	70.0	2.5
9.803922E-4	0.8957402	70.0	3.0
0.07156863	0.27960783	80.0	1.5
0.024754902	0.5330098	80.0	2.0
0.009558824	0.6950343	80.0	2.5
0.005392157	0.78684807	80.0	3.0
0.2495098	0.08312255	90.0	1.5
0.10294118	0.2627059	90.0	2.0
0.059313726	0.45390686	90.0	2.5
0.037009805	0.58805394	90.0	3.0
