FRR	FAR	%Aciertos	DistribEstandar
0.0012254902	0.7615196	50.0	1.5
4.901961E-4	0.88397056	50.0	2.0
0.0	0.9362647	50.0	2.5
0.0	0.9652598	50.0	3.0
0.005637255	0.5987402	60.0	1.5
0.0012254902	0.78364706	60.0	2.0
4.901961E-4	0.87237257	60.0	2.5
0.0	0.92	60.0	3.0
0.024754902	0.40652943	70.0	1.5
0.0036764706	0.64367646	70.0	2.0
9.803922E-4	0.77641666	70.0	2.5
2.4509805E-4	0.8484412	70.0	3.0
0.08137255	0.20981373	80.0	1.5
0.01764706	0.45179412	80.0	2.0
0.005147059	0.63140196	80.0	2.5
0.0022058825	0.7410245	80.0	3.0
0.28112745	0.06411765	90.0	1.5
0.09117647	0.21681373	90.0	2.0
0.040686276	0.40357354	90.0	2.5
0.018627452	0.5532304	90.0	3.0
