FRR	FAR	%Aciertos	DistribEstandar
0.01004902	0.5167353	50.0	1.5
9.803922E-4	0.7058333	50.0	2.0
2.4509805E-4	0.81225	50.0	2.5
0.0	0.87107354	50.0	3.0
0.022058824	0.3812255	60.0	1.5
0.0026960785	0.6042549	60.0	2.0
4.901961E-4	0.7432941	60.0	2.5
2.4509805E-4	0.8235098	60.0	3.0
0.057107843	0.24789216	70.0	1.5
0.007352941	0.47715196	70.0	2.0
0.0017156863	0.6522549	70.0	2.5
7.3529413E-4	0.7598235	70.0	3.0
0.15539216	0.13614215	80.0	1.5
0.028921569	0.32946077	80.0	2.0
0.005637255	0.524201	80.0	2.5
0.0014705883	0.6654265	80.0	3.0
0.360049	0.055446077	90.0	1.5
0.10220588	0.18137255	90.0	2.0
0.030882353	0.35310295	90.0	2.5
0.008578432	0.5157255	90.0	3.0
