FRR	FAR	%Aciertos	DistribEstandar
0.0036764706	0.9022549	50.0	1.5
0.0017156863	0.9404951	50.0	2.0
9.803922E-4	0.96040684	50.0	2.5
4.901961E-4	0.97306865	50.0	3.0
0.008578432	0.83855885	60.0	1.5
0.0034313726	0.91081864	60.0	2.0
0.0019607844	0.9392598	60.0	2.5
9.803922E-4	0.9567206	60.0	3.0
0.022058824	0.72716177	70.0	1.5
0.010784314	0.8614216	70.0	2.0
0.004656863	0.90617156	70.0	2.5
0.0031862746	0.9319951	70.0	3.0
0.05882353	0.55890197	80.0	1.5
0.029411765	0.7565	80.0	2.0
0.017156864	0.84605885	80.0	2.5
0.01004902	0.88719606	80.0	3.0
0.14558823	0.33791667	90.0	1.5
0.0875	0.56870097	90.0	2.0
0.05857843	0.70867157	90.0	2.5
0.039215688	0.7879657	90.0	3.0
