FRR	FAR	%Aciertos	DistribEstandar
0.0034313726	0.90190685	50.0	1.5
0.0017156863	0.9409951	50.0	2.0
9.803922E-4	0.96108824	50.0	2.5
4.901961E-4	0.97382355	50.0	3.0
0.008333334	0.849	60.0	1.5
0.0031862746	0.9130098	60.0	2.0
0.0019607844	0.94029903	60.0	2.5
7.3529413E-4	0.95790195	60.0	3.0
0.020588236	0.7522108	70.0	1.5
0.009558824	0.86893135	70.0	2.0
0.004166667	0.90983826	70.0	2.5
0.0029411765	0.9347549	70.0	3.0
0.05514706	0.60184807	80.0	1.5
0.027941177	0.7816716	80.0	2.0
0.016176471	0.85665196	80.0	2.5
0.009803922	0.89405394	80.0	3.0
0.13897058	0.3937794	90.0	1.5
0.08284314	0.617348	90.0	2.0
0.05490196	0.7417206	90.0	2.5
0.037254903	0.8085196	90.0	3.0
